BUSINESS_DATE,SYMBOL,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TOTAL_TRADED_QUANTITY,TOTAL_TRADED_VALUE
2016-07-27,SLBBLP,0.0,1350.0,1221.0,1221.0,60.0,77080.0
2016-07-28,SLBBLP,0.0,1197.0,1100.0,1100.0,9440.0,10386560.0
2016-08-10,SLBBLP,0.0,1078.0,1000.0,1000.0,5838.0,5839870.0
2016-08-21,SLBBLP,0.0,1000.0,1000.0,1000.0,3419.0,3419000.0
2016-08-23,SLBBLP,0.0,1000.0,1000.0,1000.0,1000.0,1000000.0
2016-10-02,SLBBLP,0.0,1000.0,1000.0,1000.0,9257.0,9257000.0
2016-10-03,SLBBLP,0.0,1000.0,1000.0,1000.0,4838.0,4838000.0
2017-03-23,SLBBLP,0.0,1000.0,1000.0,1000.0,1521.0,1521000.0
2017-03-28,SLBBLP,0.0,1000.0,1000.0,1000.0,6304.0,6304000.0
2018-04-04,SLBBLP,0.0,675.0,675.0,675.0,655.0,442125.0
2018-05-06,SLBBLP,0.0,675.0,675.0,675.0,1000.0,675000.0
2019-03-28,SLBBLP,0.0,267.0,247.0,247.0,9063.0,2251361.0
2019-04-01,SLBBLP,0.0,267.0,267.0,267.0,3000.0,801000.0
2019-05-09,SLBBLP,0.0,262.0,262.0,262.0,5600.0,1467200.0
2019-07-11,SLBBLP,0.0,262.0,262.0,262.0,6000.0,1572000.0
2019-08-19,SLBBLP,0.0,262.0,262.0,262.0,8000.0,2096000.0
2020-07-14,SLBBLP,0.0,262.0,262.0,262.0,46000.0,12052000.0
2020-08-25,SLBBLP,0.0,450.0,450.0,450.0,10000.0,4500000.0
2020-09-22,SLBBLP,0.0,450.0,450.0,450.0,7000.0,3150000.0
2021-01-11,SLBBLP,0.0,642.0,642.0,642.0,15858.0,10180836.0
2021-01-20,SLBBLP,0.0,642.0,642.0,642.0,7500.0,4815000.0
2021-06-21,SLBBLP,810.0,810.0,810.0,810.0,7000.0,5670000.0
2021-07-12,SLBBLP,810.0,810.0,810.0,810.0,20000.0,16200000.0
2021-09-22,SLBBLP,810.0,810.0,810.0,810.0,5000.0,4050000.0
2021-09-27,SLBBLP,810.0,810.0,810.0,810.0,6480.0,5248800.0
2021-09-29,SLBBLP,810.0,810.0,810.0,810.0,3000.0,2430000.0
2021-12-22,SLBBLP,523.0,523.0,523.0,523.0,2500.0,1307500.0
2022-09-16,SLBBLP,288.0,288.0,288.0,288.0,10000.0,2880000.0
2022-10-19,SLBBLP,288.0,288.0,288.0,288.0,2000.0,576000.0
2022-12-11,SLBBLP,288.0,288.0,288.0,288.0,4564.0,1314432.0
2023-05-04,SLBBLP,303.0,303.0,303.0,303.0,3050.0,924150.0
2023-08-02,SLBBLP,410.0,410.0,410.0,410.0,6000.0,2460000.0
2023-10-01,SLBBLP,410.0,410.0,410.0,410.0,4900.0,2009000.0
2023-11-23,SLBBLP,410.0,410.0,410.0,410.0,2440.0,1000400.0
2023-12-05,SLBBLP,410.0,410.0,410.0,410.0,4000.0,1640000.0
2023-12-28,SLBBLP,410.0,410.0,410.0,410.0,8690.0,3562900.0
