BUSINESS_DATE,SYMBOL,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TOTAL_TRADED_QUANTITY,TOTAL_TRADED_VALUE
2019-01-21,SLBSL,0.0,505.0,505.0,505.0,1010.0,510050.0
2019-01-27,SLBSL,0.0,515.0,505.0,515.0,10.0,5150.0
2019-01-28,SLBSL,0.0,540.0,515.0,540.0,10.0,5400.0
2019-01-29,SLBSL,0.0,567.0,540.0,567.0,10.0,5670.0
2019-01-30,SLBSL,0.0,606.0,567.0,606.0,20.0,12010.0
2019-01-31,SLBSL,0.0,648.0,606.0,648.0,20.0,12840.0
2019-02-05,SLBSL,0.0,712.0,648.0,712.0,200.0,141830.0
2019-02-06,SLBSL,0.0,783.0,712.0,783.0,620.0,484810.0
2019-02-07,SLBSL,0.0,861.0,768.0,852.0,20090.0,16702960.0
2019-02-10,SLBSL,0.0,854.0,808.0,809.0,7266.0,5933592.0
2019-02-11,SLBSL,0.0,824.0,787.0,806.0,3340.0,2693460.0
2019-02-12,SLBSL,0.0,812.0,802.0,804.0,1391.0,1121267.0
2019-02-13,SLBSL,0.0,804.0,795.0,800.0,2310.0,1844080.0
2019-02-14,SLBSL,0.0,800.0,780.0,790.0,2470.0,1948530.0
2019-02-17,SLBSL,0.0,805.0,781.0,783.0,1760.0,1386650.0
2019-02-18,SLBSL,0.0,783.0,773.0,780.0,1460.0,1133090.0
2019-02-19,SLBSL,0.0,832.0,770.0,832.0,1000.0,793440.0
2019-02-20,SLBSL,0.0,832.0,780.0,788.0,800.0,636320.0
2019-02-21,SLBSL,0.0,791.0,776.0,778.0,1957.0,1526299.0
2019-02-24,SLBSL,0.0,786.0,759.0,786.0,3120.0,2398240.0
2019-02-25,SLBSL,0.0,799.0,769.0,784.0,890.0,696230.0
2019-02-26,SLBSL,0.0,786.0,771.0,772.0,980.0,761770.0
2019-02-27,SLBSL,0.0,798.0,765.0,775.0,1280.0,997390.0
2019-03-03,SLBSL,0.0,778.0,765.0,771.0,520.0,401520.0
2019-03-05,SLBSL,0.0,780.0,765.0,770.0,810.0,623110.0
2019-03-06,SLBSL,0.0,784.0,757.0,768.0,2035.0,1554045.0
2019-03-07,SLBSL,0.0,783.0,761.0,777.0,810.0,624620.0
2019-03-10,SLBSL,0.0,777.0,760.0,761.0,150.0,114510.0
2019-03-11,SLBSL,0.0,776.0,761.0,765.0,430.0,329510.0
2019-03-12,SLBSL,0.0,770.0,757.0,765.0,1030.0,783670.0
2019-03-13,SLBSL,0.0,767.0,755.0,758.0,490.0,371710.0
2019-03-14,SLBSL,0.0,765.0,751.0,760.0,1144.0,868472.0
2019-03-17,SLBSL,0.0,775.0,745.0,750.0,1115.0,837695.0
2019-03-18,SLBSL,0.0,754.0,740.0,741.0,1755.0,1305085.0
2019-03-19,SLBSL,0.0,741.0,727.0,731.0,720.0,527980.0
2019-03-21,SLBSL,0.0,731.0,716.0,717.0,640.0,461360.0
2019-03-24,SLBSL,0.0,740.0,700.0,740.0,1560.0,1120390.0
2019-03-26,SLBSL,0.0,710.0,695.0,702.0,820.0,577240.0
2019-03-27,SLBSL,0.0,709.0,700.0,702.0,370.0,259770.0
2019-03-28,SLBSL,0.0,708.0,699.0,700.0,1020.0,715140.0
2019-03-31,SLBSL,0.0,700.0,680.0,682.0,590.0,407090.0
2019-04-01,SLBSL,0.0,695.0,677.0,685.0,550.0,377940.0
2019-04-02,SLBSL,0.0,700.0,675.0,685.0,220.0,149850.0
2019-04-03,SLBSL,0.0,695.0,676.0,680.0,320.0,218240.0
2019-04-04,SLBSL,0.0,680.0,670.0,670.0,1273.0,1228240.0
2019-04-07,SLBSL,0.0,696.0,636.0,636.0,170.0,113090.0
2019-04-08,SLBSL,0.0,696.0,630.0,661.0,1310.0,860150.0
2019-04-09,SLBSL,0.0,665.0,648.0,648.0,550.0,357960.0
2019-04-10,SLBSL,0.0,660.0,639.0,660.0,190.0,122600.0
2019-04-11,SLBSL,0.0,670.0,648.0,650.0,580.0,381360.0
2019-04-15,SLBSL,0.0,657.0,637.0,638.0,460.0,295620.0
2019-04-16,SLBSL,0.0,683.0,621.0,676.0,970.0,648300.0
2019-04-17,SLBSL,0.0,668.0,652.0,652.0,270.0,179340.0
2019-04-18,SLBSL,0.0,659.0,639.0,655.0,910.0,588540.0
2019-04-21,SLBSL,0.0,650.0,637.0,650.0,160.0,103280.0
2019-04-22,SLBSL,0.0,673.0,650.0,651.0,190.0,125730.0
2019-04-23,SLBSL,0.0,650.0,635.0,640.0,750.0,486170.0
2019-04-24,SLBSL,0.0,684.0,628.0,684.0,140.0,91800.0
2019-04-25,SLBSL,0.0,693.0,693.0,693.0,10.0,6930.0
2019-04-28,SLBSL,0.0,693.0,640.0,677.0,1470.0,973370.0
2019-04-29,SLBSL,0.0,675.0,640.0,660.0,430.0,282360.0
2019-04-30,SLBSL,0.0,668.0,635.0,643.0,200.0,130320.0
2019-05-02,SLBSL,0.0,646.0,630.0,633.0,300.0,190760.0
2019-05-05,SLBSL,0.0,639.0,625.0,628.0,750.0,471850.0
2019-05-06,SLBSL,0.0,630.0,617.0,620.0,220.0,137120.0
2019-05-07,SLBSL,0.0,624.0,608.0,608.0,870.0,532920.0
2019-05-08,SLBSL,0.0,615.0,596.0,606.0,400.0,243340.0
2019-05-09,SLBSL,0.0,627.0,596.0,600.0,900.0,546470.0
2019-05-12,SLBSL,0.0,611.0,589.0,590.0,1462.0,866090.0
2019-05-13,SLBSL,0.0,613.0,600.0,610.0,380.0,229410.0
2019-05-14,SLBSL,0.0,612.0,571.0,592.0,1430.0,833370.0
2019-05-15,SLBSL,0.0,592.0,575.0,575.0,660.0,385080.0
