BUSINESS_DATE,SYMBOL,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TOTAL_TRADED_QUANTITY,TOTAL_TRADED_VALUE
2022-04-13,SMBPO,1001.0,1001.0,1001.0,1001.0,600,600600.0
2022-04-17,SMBPO,981.0,981.0,981.0,981.0,400,392400.0
2022-04-18,SMBPO,981.0,981.0,981.0,981.0,500,490500.0
2022-04-19,SMBPO,981.0,981.0,981.0,981.0,500,490500.0
2022-04-20,SMBPO,981.0,981.0,981.0,981.0,1300,1275300.0
2022-04-26,SMBPO,962.0,962.0,962.0,962.0,1200,1154400.0
2022-05-08,SMBPO,962.0,962.0,962.0,962.0,3100,1783080.0
2022-09-28,SMBPO,652.0,652.0,652.0,652.0,200,130400.0
2022-10-09,SMBPO,652.0,652.0,652.0,652.0,1000,652000.0
2023-05-30,SMBPO,652.0,652.0,652.0,652.0,7150,3660800.0
