BUSINESS_DATE,SYMBOL,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TOTAL_TRADED_QUANTITY,TOTAL_TRADED_VALUE
2019-06-17,SMFBS,0.0,281.0,276.0,281.0,20.0,5570.0
2019-06-24,SMFBS,0.0,295.0,295.0,295.0,10.0,2950.0
2019-06-26,SMFBS,0.0,309.0,309.0,309.0,10.0,3090.0
2019-06-30,SMFBS,0.0,339.0,324.0,339.0,70.0,23460.0
2019-07-01,SMFBS,0.0,355.0,355.0,355.0,10.0,3550.0
2019-07-03,SMFBS,0.0,379.0,372.0,379.0,20.0,7510.0
2019-07-04,SMFBS,0.0,416.0,397.0,416.0,50.0,20450.0
2019-07-07,SMFBS,0.0,457.0,436.0,457.0,4077.0,1847973.0
2019-07-08,SMFBS,0.0,490.0,450.0,465.0,9483.0,4508220.0
2019-07-09,SMFBS,0.0,479.0,461.0,478.0,3110.0,1462510.0
2019-07-10,SMFBS,0.0,475.0,464.0,465.0,1230.0,575690.0
2019-07-11,SMFBS,0.0,469.0,459.0,466.0,1800.0,839360.0
2019-07-14,SMFBS,0.0,470.0,462.0,465.0,1400.0,651340.0
2019-07-15,SMFBS,0.0,475.0,465.0,472.0,850.0,400070.0
2019-07-16,SMFBS,0.0,480.0,465.0,471.0,550.0,258580.0
2019-07-17,SMFBS,0.0,479.0,464.0,475.0,770.0,364360.0
2019-07-18,SMFBS,0.0,484.0,473.0,473.0,360.0,171140.0
2019-07-21,SMFBS,0.0,499.0,465.0,499.0,1668.0,803538.0
2019-07-22,SMFBS,0.0,520.0,484.0,493.0,895.0,440810.0
2019-07-23,SMFBS,0.0,517.0,481.0,494.0,1340.0,654710.0
2019-07-24,SMFBS,0.0,519.0,487.0,519.0,3478.0,1764600.0
2019-07-25,SMFBS,0.0,531.0,494.0,516.0,8690.0,4497410.0
2019-07-28,SMFBS,0.0,523.0,497.0,503.0,1200.0,607850.0
2019-07-29,SMFBS,0.0,550.0,510.0,550.0,2730.0,1454200.0
2019-07-30,SMFBS,0.0,597.0,544.0,597.0,2292.0,1290213.0
2019-07-31,SMFBS,0.0,656.0,590.0,656.0,3250.0,2059485.0
2019-08-01,SMFBS,0.0,721.0,664.0,721.0,3670.0,2618540.0
2019-08-04,SMFBS,0.0,793.0,756.0,793.0,1770.0,1369470.0
2019-08-05,SMFBS,0.0,872.0,780.0,825.0,10582.0,8880384.0
2019-08-06,SMFBS,0.0,815.0,743.0,749.0,3869.0,2958205.0
2019-08-07,SMFBS,0.0,810.0,690.0,805.0,2070.0,1585625.0
2019-08-08,SMFBS,0.0,793.0,750.0,793.0,530.0,408670.0
2019-08-11,SMFBS,0.0,872.0,808.0,837.0,3870.0,3241805.0
2019-08-12,SMFBS,0.0,848.0,817.0,829.0,1060.0,876010.0
2019-08-13,SMFBS,0.0,844.0,814.0,824.0,825.0,680625.0
2019-08-14,SMFBS,0.0,824.0,808.0,824.0,1060.0,866340.0
2019-08-15,SMFBS,0.0,829.0,809.0,829.0,510.0,417910.0
2019-08-18,SMFBS,0.0,830.0,801.0,825.0,1400.0,1139030.0
2019-08-19,SMFBS,0.0,847.0,810.0,834.0,940.0,775110.0
2019-08-20,SMFBS,0.0,835.0,818.0,835.0,470.0,386290.0
2019-08-21,SMFBS,0.0,820.0,806.0,811.0,670.0,544470.0
2019-08-22,SMFBS,0.0,820.0,804.0,811.0,360.0,291900.0
2019-08-25,SMFBS,0.0,820.0,793.0,820.0,840.0,672540.0
2019-08-26,SMFBS,0.0,820.0,800.0,812.0,1340.0,1079760.0
2019-08-27,SMFBS,0.0,821.0,800.0,818.0,510.0,414410.0
2019-08-28,SMFBS,0.0,818.0,800.0,814.0,790.0,634200.0
2019-08-29,SMFBS,0.0,817.0,802.0,817.0,90.0,72720.0
2019-09-01,SMFBS,0.0,812.0,802.0,812.0,210.0,168760.0
2019-09-02,SMFBS,0.0,808.0,797.0,808.0,1190.0,952310.0
2019-09-03,SMFBS,0.0,840.0,792.0,840.0,451.0,363906.0
2019-09-04,SMFBS,0.0,833.0,801.0,813.0,370.0,299120.0
2019-09-05,SMFBS,0.0,815.0,800.0,815.0,580.0,470450.0
2019-09-08,SMFBS,0.0,810.0,800.0,809.0,170.0,136930.0
2019-09-09,SMFBS,0.0,805.0,794.0,805.0,320.0,255440.0
2019-09-10,SMFBS,0.0,812.0,792.0,810.0,320.0,256620.0
2019-09-11,SMFBS,0.0,810.0,798.0,805.0,190.0,152200.0
2019-09-12,SMFBS,0.0,800.0,791.0,798.0,249.0,197338.0
2019-09-15,SMFBS,0.0,813.0,785.0,800.0,690.0,547130.0
2019-09-16,SMFBS,0.0,805.0,786.0,805.0,210.0,166540.0
2019-09-17,SMFBS,0.0,825.0,795.0,807.0,170.0,138660.0
2019-09-18,SMFBS,0.0,823.0,800.0,821.0,440.0,357540.0
2019-09-19,SMFBS,0.0,820.0,795.0,796.0,170.0,136630.0
2019-09-22,SMFBS,0.0,790.0,771.0,790.0,80.0,62360.0
2019-09-23,SMFBS,0.0,796.0,776.0,796.0,120.0,94060.0
2019-09-24,SMFBS,0.0,800.0,780.0,800.0,240.0,189220.0
2019-09-25,SMFBS,0.0,798.0,775.0,798.0,140.0,109930.0
2019-09-26,SMFBS,0.0,801.0,786.0,795.0,340.0,267480.0
2019-09-29,SMFBS,0.0,810.0,785.0,800.0,180.0,143110.0
2019-09-30,SMFBS,0.0,790.0,775.0,785.0,90.0,70310.0
2019-10-01,SMFBS,0.0,809.0,800.0,801.0,350.0,280210.0
2019-10-02,SMFBS,0.0,792.0,791.0,791.0,20.0,15830.0
2019-10-03,SMFBS,0.0,806.0,800.0,801.0,141.0,113410.0
2019-10-14,SMFBS,0.0,786.0,778.0,781.0,530.0,413508.0
2019-10-15,SMFBS,0.0,780.0,770.0,780.0,70.0,54160.0
2019-10-17,SMFBS,0.0,786.0,771.0,777.0,800.0,624860.0
2019-10-20,SMFBS,0.0,777.0,770.0,775.0,50.0,38620.0
2019-10-21,SMFBS,0.0,780.0,776.0,780.0,149.0,115990.0
