BUSINESS_DATE,SYMBOL,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TOTAL_TRADED_QUANTITY,TOTAL_TRADED_VALUE
2021-11-25,SPC,296.3,320.5,296.3,320.5,57,17539.1
2021-11-28,SPC,326.9,346.8,326.9,346.8,71,23677.2
2021-11-29,SPC,346.8,381.4,346.8,381.4,67,24651.7
2021-11-30,SPC,389.0,419.5,389.0,419.5,70,28476.0
2021-12-01,SPC,427.8,461.4,427.8,461.4,160,72941.2
2021-12-02,SPC,470.6,507.5,470.6,507.5,700,354345.0
2021-12-05,SPC,517.0,558.2,471.0,500.0,33698,17873241.7
2021-12-06,SPC,510.0,510.0,455.0,500.0,10801,5089838.0
2021-12-07,SPC,510.0,519.0,471.6,475.0,6274,3065806.0
2021-12-08,SPC,467.0,467.0,427.5,441.0,8150,3584326.0
2021-12-09,SPC,432.3,440.0,418.5,425.0,5381,2286022.4
2021-12-12,SPC,415.0,420.0,393.0,393.0,5492,2210806.0
2021-12-13,SPC,386.0,386.0,354.0,367.0,2565,947056.0
2021-12-14,SPC,369.0,403.7,369.0,403.7,2640,1036305.0
2021-12-15,SPC,411.7,444.0,406.8,444.0,9896,4164791.0
2021-12-16,SPC,452.8,478.0,413.0,433.2,4185,1838720.0
2021-12-20,SPC,431.0,433.0,403.0,426.8,3300,1362389.0
2021-12-21,SPC,420.0,434.0,416.0,425.0,2925,1231881.0
2021-12-22,SPC,425.0,458.0,425.0,458.0,2975,1290767.0
2021-12-23,SPC,448.9,483.9,432.0,436.0,3053,1358852.0
2021-12-26,SPC,428.0,469.2,425.0,469.2,7185,3143846.0
2021-12-27,SPC,460.0,500.0,437.0,497.0,6118,2754088.6
2021-12-28,SPC,488.0,488.0,452.0,467.0,1750,805222.0
2021-12-29,SPC,457.7,457.7,442.0,457.0,2218,996022.8
2022-01-02,SPC,448.0,456.0,436.1,450.0,5566,2475728.0
2022-01-03,SPC,444.0,452.8,431.2,444.0,2658,1171428.0
2022-01-04,SPC,440.0,450.0,438.1,440.0,2795,1238350.0
2022-01-05,SPC,433.0,461.0,433.0,449.0,6134,2746149.0
2022-01-06,SPC,441.0,460.0,433.2,460.0,4320,1934114.0
2022-01-09,SPC,460.1,478.0,459.0,477.0,6378,2989245.5
2022-01-10,SPC,478.0,487.5,460.6,482.5,5537,2630780.0
2022-01-11,SPC,483.0,494.0,473.0,490.0,4209,2044088.0
2022-01-12,SPC,490.0,529.0,481.3,516.0,15164,7664193.0
2022-01-13,SPC,522.9,530.0,506.0,526.0,6682,3462993.0
2022-01-16,SPC,526.0,560.0,526.0,554.0,12203,6725697.5
2022-01-17,SPC,545.0,593.0,545.0,593.0,16925,9566105.5
2022-01-18,SPC,590.0,649.3,584.0,649.3,18009,10873677.8
2022-01-19,SPC,640.0,714.0,615.0,714.0,17399,11071333.5
2022-01-20,SPC,700.0,745.0,672.3,732.0,20034,14017860.0
2022-01-23,SPC,735.0,735.0,670.0,683.0,30393,20919563.1
2022-01-24,SPC,669.4,669.4,625.0,636.0,14888,9651623.2
2022-01-25,SPC,624.0,661.6,613.0,661.6,6585,4212254.0
2022-01-26,SPC,648.4,663.0,632.3,663.0,6553,4243178.2
2022-01-27,SPC,649.8,703.0,640.0,660.0,10443,6941802.8
2022-01-30,SPC,673.2,694.0,661.0,693.0,8330,5616889.7
2022-01-31,SPC,690.0,690.0,670.0,679.0,3110,2111231.0
2022-02-01,SPC,679.0,684.0,665.5,679.0,5765,3904036.5
2022-02-03,SPC,669.0,692.0,669.0,676.0,11682,7921640.0
2022-02-06,SPC,663.0,682.0,655.1,678.9,5574,3717191.3
2022-02-07,SPC,665.4,689.9,652.2,670.0,5667,3790817.8
2022-02-08,SPC,670.0,694.0,644.1,655.0,5065,3356765.0
2022-02-09,SPC,642.1,655.0,631.0,637.1,2489,1592647.0
2022-02-10,SPC,635.0,687.0,613.0,630.0,3603,2286474.1
2022-02-13,SPC,617.4,618.0,586.1,586.1,3636,2169353.0
