BUSINESS_DATE,SYMBOL,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TOTAL_TRADED_QUANTITY,TOTAL_TRADED_VALUE
2020-06-30,SRBLD83,0.0,1000.0,1000.0,1000.0,100.0,100000.0
2020-07-16,SRBLD83,0.0,1020.0,1020.0,1020.0,25.0,25500.0
2020-07-22,SRBLD83,0.0,1025.0,1025.0,1025.0,25.0,25625.0
2020-07-23,SRBLD83,0.0,1025.0,1025.0,1025.0,50.0,51250.0
2020-07-26,SRBLD83,0.0,1025.0,1025.0,1025.0,25.0,25625.0
2020-07-28,SRBLD83,0.0,1010.0,1010.0,1010.0,100.0,101000.0
2020-07-30,SRBLD83,0.0,1030.0,1030.0,1030.0,12.0,12360.0
2020-08-11,SRBLD83,0.0,1020.0,1020.0,1020.0,25.0,25500.0
2020-08-13,SRBLD83,0.0,1001.0,1000.0,1001.0,50.0,50025.0
2020-08-25,SRBLD83,0.0,1008.0,1008.0,1008.0,100.0,100800.0
2020-09-06,SRBLD83,0.0,1011.0,1011.0,1011.0,500.0,505500.0
2020-09-07,SRBLD83,0.0,1005.0,1005.0,1005.0,1000.0,1005000.0
2020-09-08,SRBLD83,0.0,1010.0,1010.0,1010.0,25.0,25250.0
2020-09-09,SRBLD83,0.0,1050.0,1050.0,1050.0,2500.0,2625000.0
2020-09-15,SRBLD83,0.0,1040.0,1040.0,1040.0,10.0,10400.0
2020-09-16,SRBLD83,0.0,1022.0,1022.0,1022.0,25.0,25550.0
2020-09-17,SRBLD83,0.0,1020.0,1020.0,1020.0,100.0,102000.0
2020-09-20,SRBLD83,0.0,1010.0,1007.0,1010.0,90.0,90825.0
2020-09-23,SRBLD83,0.0,1010.0,1010.0,1010.0,100.0,101000.0
2020-09-24,SRBLD83,0.0,1012.0,1010.0,1010.0,500.0,505600.0
2020-10-01,SRBLD83,0.0,1020.0,1020.0,1020.0,50.0,51000.0
2020-10-04,SRBLD83,0.0,1020.0,1020.0,1020.0,25.0,25500.0
2020-10-07,SRBLD83,0.0,1030.0,1029.0,1030.0,25.0,25740.0
2020-10-08,SRBLD83,0.0,1016.0,1010.0,1010.0,500.0,505300.0
2020-10-15,SRBLD83,0.0,1020.0,1020.0,1020.0,10.0,10200.0
2020-10-18,SRBLD83,0.0,1040.0,1025.0,1040.0,90.0,93000.0
2020-10-19,SRBLD83,0.0,1040.0,1026.0,1026.0,125.0,129650.0
2020-11-01,SRBLD83,0.0,1046.0,1046.0,1046.0,50.0,52300.0
2020-11-02,SRBLD83,0.0,1066.0,1050.0,1066.0,55.0,58150.0
2020-11-03,SRBLD83,0.0,1075.0,1075.0,1075.0,50.0,53750.0
2020-11-09,SRBLD83,0.0,1090.0,1090.0,1090.0,25.0,27250.0
2020-11-12,SRBLD83,0.0,1072.0,1072.0,1072.0,10.0,10720.0
2020-11-19,SRBLD83,0.0,1060.0,1060.0,1060.0,25.0,26500.0
2020-11-22,SRBLD83,0.0,1040.0,1020.0,1020.0,100.0,102500.0
2020-11-23,SRBLD83,0.0,1040.0,1027.0,1027.0,175.0,181675.0
2020-11-25,SRBLD83,0.0,1040.0,1040.0,1040.0,1025.0,1066000.0
2020-11-26,SRBLD83,0.0,1050.0,1050.0,1050.0,500.0,525000.0
2020-11-30,SRBLD83,0.0,1032.0,1032.0,1032.0,25.0,25800.0
2020-12-02,SRBLD83,0.0,1045.0,1035.0,1045.0,105.0,109275.0
2020-12-07,SRBLD83,0.0,1065.0,1065.0,1065.0,15.0,15975.0
2020-12-13,SRBLD83,0.0,1060.0,1058.0,1060.0,200.0,211800.0
2020-12-14,SRBLD83,0.0,1050.0,1050.0,1050.0,25.0,26250.0
2020-12-16,SRBLD83,0.0,1065.0,1065.0,1065.0,15.0,15975.0
2020-12-20,SRBLD83,0.0,1060.0,1060.0,1060.0,55.0,58300.0
2020-12-21,SRBLD83,0.0,1055.0,1050.0,1050.0,60.0,63100.0
2020-12-30,SRBLD83,0.0,1071.0,1071.0,1071.0,200.0,214200.0
2020-12-31,SRBLD83,0.0,1070.0,1070.0,1070.0,50.0,53500.0
2021-01-03,SRBLD83,0.0,1065.0,1065.0,1065.0,335.0,356775.0
2021-01-05,SRBLD83,0.0,1068.0,1066.0,1068.0,140.0,149320.0
2021-01-06,SRBLD83,0.0,1070.0,1066.0,1070.0,125.0,133350.0
2021-01-10,SRBLD83,0.0,1075.0,1071.0,1075.0,50.0,53650.0
2021-01-11,SRBLD83,0.0,1075.0,1075.0,1075.0,25.0,26875.0
2021-01-13,SRBLD83,0.0,1075.0,1075.0,1075.0,50.0,53750.0
2021-01-17,SRBLD83,0.0,1075.0,1055.0,1055.0,895.0,954725.0
2021-01-18,SRBLD83,0.0,1051.0,1051.0,1051.0,637.0,669487.0
2021-01-19,SRBLD83,0.0,1041.0,1041.0,1041.0,13.0,13533.0
2021-01-20,SRBLD83,0.0,1044.0,1044.0,1044.0,180.0,187920.0
2021-01-21,SRBLD83,0.0,1064.0,1061.0,1064.0,45.0,47841.0
2021-01-24,SRBLD83,0.0,1065.0,1065.0,1065.0,788.0,839220.0
2021-01-25,SRBLD83,0.0,1065.0,1065.0,1065.0,20.0,21300.0
2021-01-27,SRBLD83,0.0,1055.0,1052.0,1052.0,75.0,78975.0
2021-01-28,SRBLD83,0.0,1050.0,1050.0,1050.0,100.0,105000.0
2021-02-01,SRBLD83,0.0,1080.0,1071.0,1080.0,50.0,53775.0
2021-02-03,SRBLD83,0.0,1060.0,1050.0,1050.0,225.0,236750.0
2021-02-08,SRBLD83,0.0,1060.0,1052.0,1060.0,550.0,581800.0
2021-02-11,SRBLD83,0.0,1052.0,1052.0,1052.0,35.0,36820.0
2021-02-17,SRBLD83,0.0,1050.0,1050.0,1050.0,25.0,26250.0
2021-02-21,SRBLD83,0.0,1065.0,1065.0,1065.0,400.0,426000.0
2021-02-22,SRBLD83,0.0,1075.0,1075.0,1075.0,400.0,430000.0
2021-02-23,SRBLD83,0.0,1054.0,1054.0,1054.0,100.0,105400.0
2021-02-25,SRBLD83,0.0,1045.0,1040.0,1045.0,300.0,312500.0
2021-02-28,SRBLD83,0.0,1055.0,1040.0,1040.0,225.0,237000.0
2021-03-01,SRBLD83,0.0,1060.0,1060.0,1060.0,100.0,106000.0
2021-03-03,SRBLD83,0.0,1050.0,1050.0,1050.0,25.0,26250.0
2021-03-07,SRBLD83,0.0,1050.0,1050.0,1050.0,30.0,31500.0
2021-03-09,SRBLD83,0.0,1050.0,1050.0,1050.0,25.0,26250.0
2021-03-10,SRBLD83,0.0,1050.0,1050.0,1050.0,25.0,26250.0
2021-03-14,SRBLD83,0.0,1068.0,1068.0,1068.0,20.0,21360.0
2021-03-15,SRBLD83,0.0,1080.0,1068.0,1080.0,50860.0,54923960.0
2021-03-17,SRBLD83,0.0,1085.0,1080.0,1085.0,100.0,108250.0
2021-03-18,SRBLD83,0.0,1090.0,1090.0,1090.0,30.0,32700.0
2021-03-22,SRBLD83,0.0,1080.0,1080.0,1080.0,600.0,648000.0
2021-03-23,SRBLD83,0.0,1090.0,1090.0,1090.0,250.0,272500.0
2021-03-24,SRBLD83,0.0,1090.0,1080.0,1080.0,75.0,81500.0
2021-04-15,SRBLD83,0.0,1060.0,1059.0,1060.0,316.0,334794.0
2021-04-19,SRBLD83,0.0,1060.0,1051.0,1060.0,200.0,211100.0
2021-04-21,SRBLD83,0.0,1060.0,1051.0,1051.0,75.0,79275.0
2021-04-28,SRBLD83,0.0,1060.0,1060.0,1060.0,25.0,26500.0
2021-04-29,SRBLD83,0.0,1055.0,1055.0,1055.0,349.0,368195.0
2021-05-09,SRBLD83,0.0,1060.0,1050.0,1050.0,75.0,79250.0
2021-05-10,SRBLD83,0.0,1050.0,1050.0,1050.0,50.0,52500.0
2021-05-13,SRBLD83,0.0,1050.0,1030.0,1050.0,75.0,77875.0
2021-05-18,SRBLD83,0.0,1070.0,1070.0,1070.0,25.0,26750.0
2021-05-19,SRBLD83,0.0,1051.0,1051.0,1051.0,50.0,52550.0
2021-05-20,SRBLD83,0.0,1043.0,1043.0,1043.0,25.0,26075.0
2021-05-23,SRBLD83,0.0,1050.0,1045.0,1050.0,1000.0,1046500.0
2021-05-24,SRBLD83,0.0,1047.0,1047.0,1047.0,25.0,26175.0
2021-05-25,SRBLD83,0.0,1067.0,1067.0,1067.0,50.0,53350.0
2021-05-27,SRBLD83,0.0,1065.0,1065.0,1065.0,125.0,133125.0
2021-05-30,SRBLD83,0.0,1060.0,1046.0,1060.0,575.0,605500.0
2021-05-31,SRBLD83,0.0,1065.0,1060.0,1065.0,200.0,212500.0
2021-06-02,SRBLD83,0.0,1065.0,1065.0,1052.0,25.0,26300.0
2021-06-03,SRBLD83,0.0,1060.0,1060.0,1060.0,25.0,26500.0
2021-06-06,SRBLD83,1065.0,1065.0,1065.0,1065.0,550.0,585750.0
2021-06-07,SRBLD83,1050.0,1050.0,1050.0,1050.0,50.0,52500.0
2021-06-08,SRBLD83,1065.0,1065.0,1065.0,1065.0,50.0,53250.0
2021-06-15,SRBLD83,1065.0,1070.0,1060.0,1060.0,325.0,347000.0
2021-06-16,SRBLD83,1060.0,1060.0,1060.0,1060.0,50.0,53000.0
2021-06-17,SRBLD83,1065.0,1065.0,1060.0,1060.0,340.0,361900.0
2021-06-21,SRBLD83,1080.0,1090.0,1080.0,1080.0,500.0,540475.0
2021-06-22,SRBLD83,1080.0,1080.0,1080.0,1080.0,100.0,108000.0
2021-06-27,SRBLD83,1070.0,1070.0,1060.0,1060.0,1075.0,1140250.0
2021-06-28,SRBLD83,1062.0,1062.0,1062.0,1062.0,25.0,26550.0
2021-07-01,SRBLD83,1083.0,1083.0,1083.0,1083.0,145.0,157035.0
2021-07-04,SRBLD83,1064.0,1064.0,1064.0,1064.0,25.0,26600.0
2021-07-06,SRBLD83,1065.0,1065.0,1065.0,1065.0,25.0,26625.0
2021-07-12,SRBLD83,1086.0,1086.0,1086.0,1086.0,40.0,43440.0
2021-07-19,SRBLD83,1064.3,1064.3,1031.0,1031.0,200.0,208242.5
2021-07-22,SRBLD83,1051.6,1051.6,1030.6,1030.6,50.0,52055.0
2021-07-25,SRBLD83,1032.1,1032.1,1032.1,1032.1,30.0,30963.0
2021-07-27,SRBLD83,1033.0,1052.7,1033.0,1052.7,300.0,313890.0
2021-08-01,SRBLD83,1050.0,1050.0,1050.0,1050.0,50.0,52500.0
2021-08-02,SRBLD83,1050.0,1050.0,1050.0,1050.0,450.0,472500.0
2021-08-03,SRBLD83,1045.0,1045.0,1045.0,1045.0,500.0,522500.0
2021-08-05,SRBLD83,1040.0,1050.0,1040.0,1050.0,400.0,418500.0
2021-08-08,SRBLD83,1050.2,1050.2,1050.2,1050.2,275.0,288805.0
2021-08-11,SRBLD83,1060.0,1060.0,1060.0,1060.0,200.0,212000.0
2021-08-12,SRBLD83,1060.0,1060.0,1060.0,1060.0,100.0,106000.0
2021-08-16,SRBLD83,1060.0,1060.0,1060.0,1060.0,80.0,84800.0
2021-08-25,SRBLD83,1060.0,1060.0,1058.0,1058.0,1075.0,1138250.0
2021-08-29,SRBLD83,1058.0,1058.0,1058.0,1058.0,830.0,878140.0
2021-08-31,SRBLD83,1036.9,1040.0,1036.9,1040.0,375.0,389922.5
2021-09-01,SRBLD83,1030.1,1030.1,1030.1,1030.1,50.0,51505.0
2021-09-02,SRBLD83,1040.0,1040.0,1040.0,1040.0,850.0,884000.0
2021-09-05,SRBLD83,1040.1,1045.0,1040.1,1041.0,1140.0,1190160.0
2021-09-08,SRBLD83,1055.0,1055.0,1048.0,1048.0,525.0,553700.0
2021-09-12,SRBLD83,1045.0,1047.0,1045.0,1045.1,535.0,559526.0
2021-09-16,SRBLD83,1040.1,1040.1,1040.1,1040.1,50.0,52005.0
2021-09-20,SRBLD83,1050.0,1050.0,1050.0,1050.0,25.0,26250.0
2021-09-21,SRBLD83,1042.0,1042.0,1042.0,1042.0,1100.0,1146200.0
2021-09-23,SRBLD83,1040.0,1040.0,1035.0,1035.0,1000.0,1035500.0
2021-09-29,SRBLD83,1035.0,1035.0,1035.0,1035.0,1000.0,1035000.0
2021-09-30,SRBLD83,1035.0,1035.0,1035.0,1035.0,425.0,439875.0
2021-10-03,SRBLD83,1035.0,1035.0,1035.0,1035.0,910.0,941850.0
2021-10-10,SRBLD83,1014.3,1014.3,1014.3,1014.3,50.0,50715.0
2021-10-11,SRBLD83,1007.0,1007.0,1007.0,1007.0,50.0,50350.0
