BUSINESS_DATE,SYMBOL,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TOTAL_TRADED_QUANTITY,TOTAL_TRADED_VALUE
2023-05-21,SRLI,399.7,414.0,399.7,404.8,43573,17758873.5
2023-05-22,SRLI,397.0,412.5,396.9,412.0,20116,8149873.2
2023-05-23,SRLI,404.0,431.9,404.0,430.0,24766,10516708.2
2023-05-24,SRLI,430.0,438.6,422.0,432.0,26171,11251072.0
2023-05-28,SRLI,432.0,440.0,415.0,415.0,30792,13100101.6
2023-05-30,SRLI,415.0,415.9,402.0,402.1,26241,10673452.2
2023-05-31,SRLI,400.0,410.0,389.0,390.1,15572,6208803.9
2023-06-01,SRLI,390.1,404.9,390.0,397.7,17526,6962964.9
2023-06-04,SRLI,395.0,421.9,395.0,414.0,20073,8316558.1
2023-06-05,SRLI,410.0,423.4,407.8,423.4,34941,14457402.4
2023-06-06,SRLI,415.0,438.0,410.1,433.0,37275,15936414.2
2023-06-07,SRLI,433.0,445.0,427.0,435.0,40748,17845098.1
2023-06-08,SRLI,435.0,472.0,430.0,451.0,82220,37174569.4
2023-06-11,SRLI,460.0,496.0,453.0,483.0,99353,47230785.8
2023-06-12,SRLI,485.0,492.0,476.5,485.0,46221,22283832.1
2023-06-13,SRLI,475.3,511.8,475.1,495.0,88821,44062062.0
2023-06-14,SRLI,494.0,512.0,488.0,500.0,105570,52930954.6
2023-06-15,SRLI,490.0,532.6,490.0,529.0,81479,41778901.0
2023-06-18,SRLI,529.0,560.6,527.0,560.0,111573,61371848.4
2023-06-19,SRLI,571.2,571.2,534.3,551.0,120933,66143138.2
2023-06-20,SRLI,550.0,560.0,530.0,531.0,58249,31557547.5
2023-06-21,SRLI,520.5,549.0,520.5,535.0,61832,33276175.8
2023-06-22,SRLI,540.0,555.0,530.0,550.0,97740,53314221.3
2023-06-25,SRLI,555.0,598.2,555.0,598.2,169906,100027792.1
2023-06-26,SRLI,610.1,619.9,581.0,581.1,97279,58069152.0
2023-06-27,SRLI,581.0,603.0,570.0,575.0,73392,42408989.9
2023-06-28,SRLI,575.0,602.0,566.0,588.0,106697,62075721.0
2023-07-02,SRLI,588.0,608.0,577.1,590.0,129138,77055214.7
2023-07-03,SRLI,578.3,598.0,574.0,579.0,63654,37228443.7
2023-07-04,SRLI,580.0,585.0,563.0,575.9,47284,27023641.5
2023-07-05,SRLI,565.0,580.0,548.0,554.0,63390,35416677.7
2023-07-06,SRLI,550.0,560.0,538.0,547.9,47513,26024080.6
2023-07-09,SRLI,540.0,568.0,540.0,568.0,50579,28344593.6
2023-07-10,SRLI,568.0,584.0,560.0,570.0,47162,26942050.8
2023-07-11,SRLI,560.0,570.5,558.0,570.0,28262,15926283.9
2023-07-12,SRLI,560.1,570.0,560.1,567.9,40013,22618074.5
2023-07-13,SRLI,568.0,578.0,552.3,552.5,39668,22310289.2
2023-07-16,SRLI,548.0,563.0,548.0,556.0,21147,11697834.8
2023-07-17,SRLI,550.0,575.0,548.0,570.2,35502,20135864.8
2023-07-18,SRLI,570.0,593.0,570.0,577.0,62290,36151612.7
2023-07-19,SRLI,578.0,582.0,565.0,565.0,50842,29165608.5
2023-07-20,SRLI,560.0,571.2,560.0,562.0,25126,14223692.3
2023-07-23,SRLI,553.0,575.0,553.0,565.0,44357,25167171.5
2023-07-24,SRLI,556.0,574.0,556.0,568.0,46718,26585817.3
2023-07-25,SRLI,568.0,575.0,558.6,558.6,34218,19318048.8
2023-07-26,SRLI,557.0,563.0,552.2,556.0,27486,15289755.2
2023-07-27,SRLI,552.1,566.0,546.0,550.0,26802,14732897.1
2023-07-30,SRLI,550.0,555.0,534.0,536.9,44307,23928987.9
2023-07-31,SRLI,536.9,546.0,531.0,537.6,19685,10658121.3
2023-08-01,SRLI,539.4,556.0,523.4,524.0,16508,8745398.9
2023-08-02,SRLI,513.7,534.0,513.7,525.0,10816,5618065.9
2023-08-03,SRLI,535.5,544.0,525.0,531.1,24985,13376130.2
2023-08-06,SRLI,521.1,540.0,515.1,520.0,19435,10146696.5
