BUSINESS_DATE,SYMBOL,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TOTAL_TRADED_QUANTITY,TOTAL_TRADED_VALUE
2016-09-18,SRS,0.0,100.0,100.0,100.0,455000.0,45500000.0
2016-09-25,SRS,0.0,100.0,100.0,100.0,71250.0,7125000.0
2016-10-19,SRS,0.0,100.0,100.0,100.0,42500.0,4250000.0
2017-01-01,SRS,0.0,100.0,100.0,100.0,2000.0,200000.0
2017-01-10,SRS,0.0,104.0,102.0,102.0,2200.0,224600.0
2017-01-17,SRS,0.0,104.0,104.0,104.0,1001.0,104104.0
2017-01-31,SRS,0.0,114.0,106.0,114.0,101000.0,11063992.0
2017-03-23,SRS,0.0,118.0,116.0,118.0,20.0,2340.0
2017-06-21,SRS,0.0,120.0,120.0,120.0,53250.0,6390000.0
2018-02-04,SRS,0.0,122.0,122.0,122.0,10.0,1220.0
2018-04-01,SRS,0.0,124.0,124.0,124.0,10.0,1240.0
2018-09-09,SRS,0.0,128.0,126.0,128.0,20.0,2540.0
2018-09-17,SRS,0.0,132.0,130.0,132.0,20.0,2620.0
2019-01-13,SRS,0.0,136.0,132.0,136.0,40.0,5400.0
2019-01-16,SRS,0.0,142.0,136.0,142.0,20.0,2840.0
2019-01-20,SRS,0.0,149.0,142.0,149.0,40.0,5960.0
2019-02-20,SRS,0.0,163.0,149.0,163.0,60.0,9590.0
2019-03-17,SRS,0.0,177.0,171.0,177.0,30.0,5220.0
2019-03-18,SRS,0.0,185.0,185.0,185.0,100.0,18500.0
2019-03-19,SRS,0.0,194.0,194.0,194.0,20.0,3880.0
2019-04-16,SRS,0.0,203.0,203.0,203.0,10.0,2030.0
2019-04-28,SRS,0.0,217.0,213.0,217.0,60.0,12980.0
2019-07-25,SRS,0.0,227.0,227.0,227.0,10.0,2270.0
2019-09-25,SRS,0.0,231.0,231.0,231.0,10.0,2310.0
2019-11-05,SRS,0.0,235.0,235.0,235.0,1001.0,235235.0
2019-11-17,SRS,0.0,239.0,239.0,239.0,200.0,47800.0
2020-01-01,SRS,0.0,247.0,243.0,247.0,80.0,19600.0
2020-01-05,SRS,0.0,266.0,251.0,266.0,40.0,10340.0
2020-07-20,SRS,0.0,276.0,271.0,276.0,1000.0,273500.0
2020-07-21,SRS,0.0,303.0,281.0,303.0,1040.0,295410.0
2020-07-22,SRS,0.0,322.0,310.0,322.0,120.0,38340.0
2020-07-27,SRS,0.0,338.0,338.0,338.0,710.0,239980.0
