BUSINESS_DATE,SYMBOL,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TOTAL_TRADED_QUANTITY,TOTAL_TRADED_VALUE
2012-01-01,SWBBL,0.0,230.0,230.0,230.0,125.0,28750.0
2012-01-02,SWBBL,0.0,238.0,226.0,238.0,345.0,80080.0
2012-01-03,SWBBL,0.0,241.0,241.0,241.0,58.0,13978.0
2012-01-08,SWBBL,0.0,238.0,238.0,238.0,302.0,71876.0
2012-01-09,SWBBL,0.0,248.0,240.0,248.0,206.0,49890.0
2012-01-10,SWBBL,0.0,248.0,240.0,240.0,502.0,122016.0
2012-01-11,SWBBL,0.0,244.0,240.0,240.0,146.0,35168.0
2012-01-12,SWBBL,0.0,242.0,230.0,242.0,3956.0,936424.0
2012-01-16,SWBBL,0.0,243.0,239.0,243.0,1284.0,307036.0
2012-01-17,SWBBL,0.0,239.0,235.0,235.0,4712.0,1125368.0
2012-01-18,SWBBL,0.0,231.0,231.0,231.0,2000.0,462000.0
2012-01-22,SWBBL,0.0,227.0,222.0,222.0,5837.0,1306389.0
2012-01-23,SWBBL,0.0,218.0,218.0,218.0,3000.0,654000.0
2012-01-26,SWBBL,0.0,228.0,222.0,228.0,376.0,84448.0
2012-02-01,SWBBL,0.0,232.0,232.0,232.0,32.0,7424.0
2012-02-02,SWBBL,0.0,236.0,236.0,236.0,10.0,2360.0
2012-02-05,SWBBL,0.0,240.0,235.0,236.0,156.0,36974.0
2012-02-06,SWBBL,0.0,240.0,229.0,229.0,2522.0,581988.0
2012-02-07,SWBBL,0.0,238.0,225.0,238.0,881.0,199866.0
2012-02-08,SWBBL,0.0,244.0,224.0,230.0,3581.0,815656.0
2012-03-05,SWBBL,0.0,233.0,233.0,233.0,207.0,48231.0
2012-03-15,SWBBL,0.0,215.0,198.0,199.0,220.0,44560.0
2012-03-18,SWBBL,199.0,196.0,194.0,194.0,1449.0,283946.0
2012-03-19,SWBBL,0.0,191.0,190.0,190.0,1332.0,254142.0
2012-03-20,SWBBL,0.0,192.0,192.0,192.0,66.0,12672.0
2012-03-21,SWBBL,0.0,195.0,193.0,195.0,119.0,23151.0
2012-03-26,SWBBL,0.0,198.0,195.0,198.0,126.0,24792.0
2012-03-28,SWBBL,0.0,201.0,201.0,201.0,100.0,20100.0
2012-03-29,SWBBL,0.0,197.0,194.0,194.0,20.0,3910.0
2012-04-12,SWBBL,0.0,213.0,197.0,213.0,668.0,141844.0
2012-04-15,SWBBL,0.0,225.0,217.0,225.0,30.0,6630.0
2012-04-17,SWBBL,0.0,229.0,229.0,229.0,215.0,49235.0
2012-04-18,SWBBL,0.0,229.0,229.0,229.0,196.0,44884.0
2012-04-19,SWBBL,0.0,235.0,233.0,235.0,200.0,46800.0
2012-04-22,SWBBL,0.0,240.0,239.0,240.0,204.0,48946.0
2012-04-25,SWBBL,0.0,244.0,244.0,244.0,10.0,2440.0
2012-04-26,SWBBL,0.0,248.0,248.0,248.0,177.0,43896.0
