BUSINESS_DATE,SYMBOL,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TOTAL_TRADED_QUANTITY,TOTAL_TRADED_VALUE
2015-12-01,SWBBLP,0.0,975.0,883.0,883.0,60.0,55710.0
2015-12-02,SWBBLP,0.0,866.0,805.0,805.0,5940.0,4783150.0
2016-03-17,SWBBLP,0.0,1165.0,1165.0,1165.0,15000.0,17475000.0
2016-08-29,SWBBLP,0.0,1300.0,1300.0,1300.0,2000.0,2600000.0
2018-12-24,SWBBLP,0.0,1300.0,1300.0,728.0,450.0,328000.0
2019-12-12,SWBBLP,0.0,582.0,582.0,582.0,188729.0,82852031.0
2019-12-15,SWBBLP,0.0,582.0,582.0,582.0,88727.0,38561939.0
2021-01-19,SWBBLP,0.0,930.0,930.0,930.0,378.0,351540.0
2021-02-24,SWBBLP,0.0,930.0,930.0,930.0,126000.0,64513370.0
2021-12-07,SWBBLP,781.45,781.45,781.45,781.45,297.0,200475.0
2021-12-15,SWBBLP,781.45,781.45,781.45,781.45,60100.0,42526100.0
2021-12-20,SWBBLP,782.0,782.0,782.0,782.0,1190.0,915190.0
2021-12-27,SWBBLP,782.0,782.0,782.0,782.0,4000.0,3200000.0
2022-06-28,SWBBLP,782.0,782.0,782.0,782.0,3810.0,2484620.0
2023-11-02,SWBBLP,782.0,782.0,782.0,782.0,936.0,655200.0
