BUSINESS_DATE,SYMBOL,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TOTAL_TRADED_QUANTITY,TOTAL_TRADED_VALUE
2020-08-17,SWMFPO,0.0,497.0,497.0,497.0,21848.0,10858456.0
2022-08-22,SWMFPO,443.0,443.0,443.0,443.0,8906.0,3945358.0
2023-01-02,SWMFPO,402.0,402.0,394.0,394.0,5535.0,2191854.0
2023-01-05,SWMFPO,447.7,447.7,447.7,447.7,25947.0,11616471.9
2023-01-12,SWMFPO,447.7,447.7,447.7,447.7,3000.0,1343100.0
2023-01-24,SWMFPO,447.7,447.7,447.7,447.7,7050.0,3156285.0
2023-02-28,SWMFPO,447.7,447.7,447.7,447.7,35552.0,15916630.4
2023-03-02,SWMFPO,447.7,447.7,447.7,447.7,338.0,151322.6
2023-03-09,SWMFPO,447.7,447.7,447.7,447.7,4949.0,2215667.3
2023-03-16,SWMFPO,447.7,447.7,447.7,447.7,34279.0,15346708.3
2023-03-27,SWMFPO,447.7,447.7,447.7,447.7,1342.0,600813.4
2023-04-10,SWMFPO,447.7,447.7,447.7,447.7,8381.0,3752173.7
2023-04-25,SWMFPO,447.0,447.0,447.0,447.0,43000.0,19221000.0
2023-09-18,SWMFPO,342.0,342.0,342.0,342.0,6205.0,2122110.0
2023-09-27,SWMFPO,342.0,342.0,342.0,342.0,1100.0,260700.0
2023-10-08,SWMFPO,342.0,342.0,342.0,342.0,20960.0,4678160.0
2023-12-06,SWMFPO,342.0,342.0,342.0,342.0,4835.0,1241770.0
2023-12-12,SWMFPO,342.0,342.0,342.0,342.0,57857.0,19787094.0
2023-12-17,SWMFPO,342.0,342.0,342.0,342.0,30142.0,10308564.0
2023-12-18,SWMFPO,342.0,342.0,342.0,342.0,19193.0,6564006.0
