BUSINESS_DATE,SYMBOL,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TOTAL_TRADED_QUANTITY,TOTAL_TRADED_VALUE
2023-04-10,TAMOR,295.0,324.5,295.0,324.5,206247,66568580.4
2023-04-11,TAMOR,330.9,342.0,304.0,313.0,158845,50318297.0
2023-04-12,TAMOR,306.8,334.0,306.8,331.5,82281,26621195.0
2023-04-13,TAMOR,338.1,338.1,318.5,321.0,49161,15884273.0
2023-04-16,TAMOR,319.0,320.0,308.0,309.0,62246,19479190.4
2023-04-17,TAMOR,304.0,315.0,304.0,314.6,41883,13004246.0
2023-04-18,TAMOR,308.4,320.0,303.0,320.0,38845,12220853.0
2023-04-20,TAMOR,316.1,323.9,313.0,313.0,38607,12249347.0
2023-04-23,TAMOR,306.8,315.0,306.8,309.1,51344,15984788.4
2023-04-24,TAMOR,309.0,310.0,304.6,310.0,43827,13448217.9
2023-04-25,TAMOR,303.9,316.0,303.9,314.0,49440,15245344.1
2023-04-26,TAMOR,310.0,313.0,305.3,309.1,37495,11516238.0
2023-04-27,TAMOR,304.5,308.0,303.3,304.1,19920,6082346.0
2023-04-30,TAMOR,299.0,304.0,290.0,290.5,47675,14132162.0
2023-05-02,TAMOR,290.0,295.8,278.0,280.2,27150,7692283.0
2023-05-03,TAMOR,275.3,280.0,275.1,280.0,22249,6155267.4
2023-05-04,TAMOR,276.0,291.0,275.0,285.0,18340,5153318.8
2023-05-07,TAMOR,285.0,290.7,275.0,275.2,22604,6274861.8
2023-05-08,TAMOR,273.0,274.0,265.0,265.4,30467,8202164.5
2023-05-09,TAMOR,264.9,276.0,261.4,274.0,30361,8179926.9
2023-05-10,TAMOR,274.0,275.0,266.4,270.0,10705,2900358.6
2023-05-11,TAMOR,265.0,271.5,264.2,270.0,9995,2691033.0
2023-05-14,TAMOR,270.0,272.0,262.1,262.3,11859,3143660.9
2023-05-15,TAMOR,260.0,267.7,256.1,259.0,9090,2361841.0
2023-05-16,TAMOR,255.0,267.0,255.0,264.0,11341,2984067.6
2023-05-17,TAMOR,263.9,271.9,261.0,270.0,21643,5785873.0
2023-05-18,TAMOR,266.0,278.0,266.0,277.1,27118,7434727.1
2023-05-21,TAMOR,275.1,287.0,269.7,270.0,26895,7416911.4
2023-05-22,TAMOR,267.3,277.7,265.0,268.0,13041,3519457.0
2023-05-23,TAMOR,270.0,280.0,269.0,279.0,42247,11692668.6
2023-05-24,TAMOR,279.0,284.4,271.0,272.1,25789,7104941.4
2023-05-28,TAMOR,271.5,286.9,270.1,272.7,60485,17004744.9
2023-05-30,TAMOR,272.8,278.1,264.2,267.6,31611,8536710.6
2023-05-31,TAMOR,262.3,273.0,258.0,258.0,39699,10457190.7
2023-06-01,TAMOR,256.0,266.0,255.0,264.9,24346,6364540.1
2023-06-04,TAMOR,265.0,279.8,264.9,275.0,29107,7998403.5
2023-06-05,TAMOR,270.1,284.0,270.1,271.3,22730,6283932.2
2023-06-06,TAMOR,266.1,286.6,266.1,286.6,43446,12186109.1
2023-06-07,TAMOR,286.0,295.0,284.5,286.9,72579,21035979.9
2023-06-08,TAMOR,285.0,289.6,282.0,287.9,47264,13450982.4
2023-06-11,TAMOR,287.0,298.8,285.0,298.0,73241,21430193.0
2023-06-12,TAMOR,293.6,303.0,290.0,292.0,41705,12323934.4
2023-06-13,TAMOR,286.2,303.9,286.2,298.0,56979,16978856.8
2023-06-14,TAMOR,297.0,308.0,293.1,296.1,70933,21285442.5
2023-06-15,TAMOR,296.0,315.0,296.0,311.1,144975,44941885.9
