BUSINESS_DATE,SYMBOL,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TOTAL_TRADED_QUANTITY,TOTAL_TRADED_VALUE
2019-09-24,TMDBL,0.0,161.0,149.0,158.0,4359.0,668905.0
2019-09-25,TMDBL,0.0,161.0,147.0,147.0,6240.0,929495.0
2019-09-26,TMDBL,0.0,147.0,142.0,146.0,3161.0,455938.0
2019-09-29,TMDBL,0.0,151.0,147.0,147.0,696.0,102614.0
2019-09-30,TMDBL,0.0,155.0,148.0,155.0,1120.0,171390.0
2019-10-01,TMDBL,0.0,158.0,151.0,151.0,2540.0,384920.0
2019-10-02,TMDBL,0.0,150.0,147.0,147.0,1480.0,217790.0
2019-10-03,TMDBL,0.0,151.0,148.0,151.0,1148.0,171674.0
2019-10-14,TMDBL,0.0,152.0,150.0,150.0,166.0,25182.0
2019-10-15,TMDBL,0.0,149.0,148.0,149.0,2912.0,433642.0
2019-10-16,TMDBL,0.0,151.0,148.0,149.0,440.0,65594.0
2019-10-17,TMDBL,0.0,150.0,147.0,147.0,1396.0,207253.0
2019-10-20,TMDBL,0.0,151.0,148.0,148.0,330.0,48980.0
2019-10-21,TMDBL,0.0,151.0,148.0,149.0,693.0,103811.0
2019-10-22,TMDBL,0.0,150.0,148.0,150.0,440.0,65290.0
2019-10-23,TMDBL,0.0,153.0,147.0,149.0,2459.0,364378.0
2019-10-24,TMDBL,0.0,152.0,149.0,150.0,1282.0,192288.0
2019-10-31,TMDBL,0.0,150.0,150.0,150.0,1300.0,195000.0
2019-11-03,TMDBL,0.0,150.0,148.0,150.0,264.0,39272.0
2019-11-04,TMDBL,0.0,150.0,148.0,148.0,1610.0,238900.0
2019-11-05,TMDBL,0.0,153.0,150.0,152.0,122.0,18544.0
2019-11-06,TMDBL,0.0,149.0,146.0,147.0,3460.0,507302.0
2019-11-07,TMDBL,0.0,148.0,146.0,148.0,3002.0,440184.0
2019-11-10,TMDBL,0.0,147.0,146.0,147.0,221.0,32291.0
2019-11-12,TMDBL,0.0,146.0,143.0,146.0,736.0,106793.0
2019-11-13,TMDBL,0.0,150.0,146.0,148.0,796.0,117796.0
2019-11-14,TMDBL,0.0,150.0,147.0,147.0,1724.0,254112.0
2019-11-17,TMDBL,0.0,146.0,144.0,144.0,2363.0,343395.0
2019-11-18,TMDBL,0.0,146.0,143.0,145.0,2458.0,353710.0
