BUSINESS_DATE,SYMBOL,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TOTAL_TRADED_QUANTITY,TOTAL_TRADED_VALUE
2012-01-08,TRH,0.0,83.0,83.0,83.0,70.0,5810.0
2012-01-31,TRH,0.0,82.0,81.0,82.0,380.0,31080.0
2012-02-07,TRH,0.0,82.0,81.0,82.0,1410.0,115610.0
2012-02-21,TRH,0.0,81.0,81.0,81.0,160.0,12960.0
2012-02-23,TRH,0.0,80.0,79.0,79.0,120.0,9590.0
2012-02-27,TRH,0.0,80.0,80.0,80.0,30.0,2400.0
2012-02-29,TRH,0.0,79.0,79.0,79.0,40.0,3160.0
2012-03-05,TRH,0.0,80.0,80.0,80.0,40.0,3200.0
2012-03-12,TRH,0.0,81.0,81.0,81.0,200.0,16200.0
2012-03-15,TRH,0.0,81.0,81.0,81.0,140.0,11340.0
2012-03-19,TRH,0.0,80.0,80.0,80.0,50.0,4000.0
2012-03-20,TRH,0.0,81.0,81.0,81.0,60.0,4860.0
2012-03-25,TRH,0.0,81.0,81.0,81.0,190.0,15390.0
2012-03-27,TRH,0.0,80.0,78.0,78.0,190.0,15090.0
2012-03-28,TRH,0.0,78.0,77.0,78.0,80.0,6200.0
2012-04-01,TRH,0.0,77.0,76.0,76.0,140.0,10760.0
2012-04-09,TRH,0.0,75.0,74.0,74.0,400.0,29700.0
2012-05-22,TRH,0.0,75.0,75.0,75.0,10.0,750.0
2012-05-23,TRH,0.0,76.0,76.0,76.0,30.0,2280.0
2012-05-24,TRH,0.0,77.0,77.0,77.0,20.0,1540.0
2012-05-29,TRH,0.0,81.0,78.0,81.0,330.0,26250.0
2012-05-30,TRH,0.0,84.0,82.0,84.0,830.0,69220.0
2012-06-03,TRH,0.0,85.0,85.0,85.0,120.0,10200.0
2012-06-04,TRH,0.0,84.0,84.0,84.0,390.0,32760.0
2012-06-05,TRH,0.0,84.0,83.0,83.0,40.0,3330.0
2012-06-07,TRH,0.0,83.0,82.0,82.0,210.0,17280.0
2012-06-11,TRH,0.0,82.0,82.0,82.0,170.0,13940.0
2012-06-12,TRH,0.0,81.0,81.0,81.0,30.0,2430.0
2012-06-14,TRH,0.0,82.0,81.0,82.0,240.0,19610.0
2012-06-19,TRH,0.0,81.0,81.0,81.0,40.0,3240.0
2012-06-20,TRH,0.0,82.0,82.0,82.0,20.0,1640.0
2012-06-25,TRH,0.0,83.0,83.0,83.0,110.0,9130.0
2012-08-07,TRH,0.0,82.0,82.0,82.0,50.0,4100.0
2012-08-22,TRH,0.0,83.0,82.0,82.0,330.0,27280.0
2012-08-23,TRH,0.0,83.0,82.0,83.0,160.0,13220.0
2012-08-26,TRH,0.0,84.0,83.0,83.0,360.0,30160.0
2012-08-28,TRH,0.0,83.0,83.0,83.0,30.0,2490.0
2012-08-29,TRH,0.0,86.0,83.0,86.0,480.0,40770.0
2012-09-03,TRH,0.0,85.0,85.0,85.0,3070.0,260950.0
2012-09-04,TRH,0.0,84.0,84.0,84.0,10.0,840.0
2012-09-05,TRH,0.0,85.0,85.0,85.0,60.0,5100.0
2012-09-06,TRH,0.0,84.0,84.0,84.0,290.0,24360.0
2012-09-09,TRH,0.0,85.0,84.0,84.0,40.0,3380.0
2012-09-11,TRH,0.0,83.0,83.0,83.0,20.0,1660.0
2012-09-16,TRH,0.0,82.0,82.0,82.0,200.0,16400.0
2012-09-17,TRH,0.0,81.0,81.0,81.0,190.0,15390.0
2012-09-19,TRH,0.0,82.0,82.0,82.0,490.0,40180.0
2012-09-20,TRH,0.0,83.0,83.0,83.0,160.0,13280.0
2012-09-30,TRH,0.0,82.0,82.0,82.0,40.0,3280.0
2012-10-01,TRH,0.0,84.0,83.0,84.0,170.0,14240.0
2012-10-07,TRH,0.0,84.0,84.0,84.0,30.0,2520.0
2012-10-08,TRH,0.0,85.0,84.0,84.0,170.0,14350.0
2012-10-10,TRH,0.0,85.0,85.0,85.0,10.0,850.0
