BUSINESS_DATE,SYMBOL,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TOTAL_TRADED_QUANTITY,TOTAL_TRADED_VALUE
2023-12-07,TVCL,268.0,294.8,268.0,294.8,19904,5865241.2
2023-12-10,TVCL,294.8,324.2,294.8,324.2,2670,862858.0
2023-12-11,TVCL,330.6,343.9,294.0,308.9,59194,18439771.3
2023-12-12,TVCL,303.1,339.7,303.0,339.7,38412,12505782.8
2023-12-13,TVCL,339.0,369.2,337.2,359.0,22084,7859310.0
2023-12-14,TVCL,351.9,360.0,332.2,356.0,34457,12010142.6
2023-12-17,TVCL,348.9,357.0,340.0,349.0,29427,10314237.3
2023-12-18,TVCL,355.0,368.0,335.0,338.0,37148,12984040.8
2023-12-19,TVCL,333.1,344.0,332.0,337.0,20458,6892134.0
2023-12-20,TVCL,337.0,349.8,332.0,342.7,25207,8574939.4
2023-12-21,TVCL,342.2,351.9,334.0,349.0,28146,9614558.8
2023-12-24,TVCL,355.9,373.0,336.2,373.0,76297,27586591.0
2023-12-27,TVCL,380.4,410.3,380.4,410.0,56574,22858305.6
2023-12-28,TVCL,418.0,434.0,395.0,399.0,39496,15917106.2
2024-01-01,TVCL,406.0,409.0,376.0,376.0,55904,21946217.6
2024-01-02,TVCL,383.0,383.0,361.8,375.0,28737,10626331.4
2024-01-03,TVCL,370.0,396.9,370.0,391.0,24240,9338406.3
2024-01-04,TVCL,396.8,406.0,382.5,385.0,37543,14759287.3
2024-01-07,TVCL,377.3,392.7,371.0,381.0,20472,7893351.4
2024-01-08,TVCL,378.0,419.1,378.0,419.1,59806,24420753.0
2024-01-09,TVCL,427.4,461.0,427.0,461.0,81869,37219947.7
2024-01-10,TVCL,470.2,490.0,462.7,474.0,65683,31078133.9
2024-01-11,TVCL,474.0,521.4,460.0,521.4,65095,32737398.6
2024-01-14,TVCL,531.8,573.5,530.0,573.5,24670,13971554.0
2024-01-16,TVCL,584.9,630.8,565.0,610.0,76520,45006648.4
2024-01-17,TVCL,622.0,623.0,562.0,579.0,63889,37977847.1
2024-01-18,TVCL,567.5,589.0,560.0,576.1,37208,21456755.9
2024-01-21,TVCL,565.0,621.0,565.0,580.0,24577,14243137.6
2024-01-22,TVCL,568.6,580.0,546.0,548.0,20803,11662526.7
2024-01-23,TVCL,550.0,559.0,520.0,527.4,17540,9576574.0
2024-01-24,TVCL,537.9,548.6,511.0,523.1,17935,9462960.0
2024-01-25,TVCL,517.0,544.1,517.0,537.0,15807,8352568.1
2024-01-28,TVCL,526.3,540.0,522.0,540.0,19972,10601043.0
