BUSINESS_DATE,SYMBOL,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TOTAL_TRADED_QUANTITY,TOTAL_TRADED_VALUE
2023-07-17,UAIL,518.9,538.4,499.2,538.4,2554,1363372.3
2023-07-18,UAIL,545.0,592.2,545.0,592.2,7651,4528364.2
2023-07-19,UAIL,604.0,651.4,604.0,631.0,375277,235745457.3
2023-07-20,UAIL,643.4,643.4,620.0,621.0,95250,59458872.8
2023-07-23,UAIL,625.0,642.0,616.2,640.0,110633,69691514.8
2023-07-24,UAIL,644.0,644.0,625.1,632.3,86302,54857493.4
2023-07-25,UAIL,638.0,638.0,626.2,627.2,53853,33977320.7
2023-07-26,UAIL,627.2,632.6,620.0,620.0,27511,17249931.6
2023-07-27,UAIL,628.0,628.0,612.5,613.0,36151,22337221.4
2023-07-30,UAIL,623.0,623.0,592.0,602.0,50025,30032415.1
2023-07-31,UAIL,602.0,612.5,595.0,602.0,28758,17379337.8
2023-08-01,UAIL,608.0,608.0,581.0,585.5,28219,16718499.1
2023-08-02,UAIL,597.0,597.0,573.0,588.0,27874,16178470.7
2023-08-03,UAIL,580.1,586.5,580.0,584.0,17944,10450671.3
2023-08-06,UAIL,575.0,583.8,560.0,565.0,15012,8512607.6
2023-08-07,UAIL,564.0,575.0,553.0,569.0,19218,10843845.4
2023-08-08,UAIL,569.0,575.0,558.0,564.7,17979,10133610.8
2023-08-09,UAIL,554.0,580.0,554.0,580.0,29177,16569241.6
2023-08-10,UAIL,582.0,605.0,573.0,597.1,53560,31847974.5
2023-08-13,UAIL,594.0,614.0,590.0,609.0,45370,27313839.1
2023-08-14,UAIL,621.0,621.0,603.1,606.9,41357,25341888.4
2023-08-15,UAIL,606.9,609.5,590.0,592.0,34628,20610434.3
2023-08-16,UAIL,589.0,592.0,580.0,584.8,40063,23458095.3
2023-08-17,UAIL,595.0,598.0,588.0,588.2,22226,13198880.3
2023-08-20,UAIL,592.0,593.0,576.3,576.3,20987,12236266.6
2023-08-21,UAIL,580.0,585.0,570.0,573.0,53639,30906132.6
2023-08-22,UAIL,584.0,584.0,566.0,582.9,94857,54193949.0
2023-08-23,UAIL,594.5,608.0,585.0,604.0,48976,29297830.2
2023-08-24,UAIL,610.0,610.0,584.0,596.0,43431,25726551.8
2023-08-27,UAIL,600.0,600.0,578.0,580.0,42830,24960541.3
2023-08-28,UAIL,588.0,588.0,577.0,577.0,25278,14705465.1
2023-08-29,UAIL,588.0,599.7,573.0,580.0,20320,11818206.9
2023-08-30,UAIL,583.0,588.9,577.5,580.0,33752,19588859.9
2023-09-03,UAIL,580.0,580.0,566.2,569.0,25698,14695439.2
2023-09-04,UAIL,577.9,577.9,560.0,569.9,22904,13075160.0
2023-09-05,UAIL,573.9,574.0,563.0,563.1,12645,7148627.0
2023-09-07,UAIL,556.7,567.0,555.1,556.1,16289,9091301.1
2023-09-10,UAIL,557.0,566.9,554.1,561.0,11593,6504785.8
2023-09-11,UAIL,561.1,584.0,561.1,580.0,25328,14593113.6
2023-09-12,UAIL,577.0,578.0,565.0,569.9,21068,12069783.8
2023-09-13,UAIL,569.9,590.0,566.1,587.0,26683,15451517.8
2023-09-17,UAIL,575.5,580.0,565.0,566.0,29387,16762575.0
2023-09-18,UAIL,566.0,580.0,563.0,568.3,6558,3739060.9
2023-09-19,UAIL,568.3,580.0,565.1,577.8,7784,4457930.9
2023-09-21,UAIL,583.0,597.0,583.0,587.3,38912,22940435.9
2023-09-24,UAIL,587.3,594.0,575.6,584.0,27470,16018746.0
2023-09-25,UAIL,594.9,594.9,568.0,576.5,7949,4566396.8
