BUSINESS_DATE,SYMBOL,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TOTAL_TRADED_QUANTITY,TOTAL_TRADED_VALUE
2022-08-11,UHEWA,130.2,143.2,130.2,143.2,194,26058.1
2022-08-14,UHEWA,146.0,154.8,146.0,154.8,40,6015.0
2022-08-15,UHEWA,154.8,170.2,154.8,170.2,91,15087.9
2022-08-16,UHEWA,167.0,187.2,167.0,187.2,140,24967.6
2022-08-17,UHEWA,190.9,205.9,190.9,205.9,120,24263.0
2022-08-18,UHEWA,210.0,226.4,210.0,226.4,200,44835.0
2022-08-21,UHEWA,230.9,249.0,230.9,249.0,390,96666.0
2022-08-22,UHEWA,253.9,273.9,253.9,273.9,5420,1484042.0
2022-08-23,UHEWA,279.3,301.2,279.3,301.2,1900,571739.0
2022-08-24,UHEWA,307.2,331.3,307.2,331.3,2390,791213.0
2022-08-25,UHEWA,337.0,364.4,337.0,364.4,4540,1653687.0
2022-08-26,UHEWA,371.6,400.8,365.7,384.0,72219,28079526.2
2022-08-28,UHEWA,384.0,384.0,357.0,357.0,39110,14265063.0
2022-08-29,UHEWA,350.0,355.0,345.0,355.0,16130,5640576.2
2022-08-30,UHEWA,347.9,385.0,341.0,385.0,12412,4533600.5
2022-08-31,UHEWA,377.3,391.6,362.5,365.0,13900,5160047.0
2022-09-01,UHEWA,357.7,394.5,343.6,389.0,28648,10544677.0
2022-09-02,UHEWA,381.3,401.0,373.0,400.0,31551,12325394.0
2022-09-04,UHEWA,392.1,423.0,392.0,423.0,48783,20011929.4
2022-09-05,UHEWA,414.6,425.0,406.8,421.0,20241,8474136.1
2022-09-06,UHEWA,412.6,437.0,404.4,423.0,21936,9149135.0
2022-09-07,UHEWA,414.6,457.7,400.0,450.0,30391,12516795.3
2022-09-08,UHEWA,441.0,441.0,408.0,425.0,27852,11586163.0
2022-09-11,UHEWA,423.0,423.0,402.0,410.0,9624,3912010.2
2022-09-12,UHEWA,401.8,425.0,388.5,393.0,14535,5761291.5
2022-09-13,UHEWA,385.2,408.0,377.5,392.0,6276,2472518.0
2022-09-14,UHEWA,384.2,406.0,384.0,403.0,13691,5416747.3
2022-09-15,UHEWA,395.0,410.0,375.0,400.0,27717,10703381.0
2022-09-16,UHEWA,392.0,431.0,364.0,423.0,6232,2431529.8
2022-09-18,UHEWA,414.6,414.6,387.2,399.8,5859,2301878.8
2022-09-20,UHEWA,391.9,399.0,377.0,387.7,5351,2028514.6
2022-09-21,UHEWA,380.0,395.0,374.0,383.0,3751,1428892.6
2022-09-22,UHEWA,390.0,394.0,363.1,394.0,6252,2299666.4
2022-09-25,UHEWA,386.2,390.0,362.8,380.0,2690,1000463.0
2022-09-27,UHEWA,372.4,402.9,360.3,402.9,4879,1843041.8
2022-09-28,UHEWA,394.9,394.9,372.0,394.0,3080,1188905.0
2022-09-29,UHEWA,386.2,411.0,371.0,392.8,4780,1856629.4
2022-10-09,UHEWA,385.0,390.0,370.2,390.0,1611,619054.0
2022-10-10,UHEWA,397.8,397.8,371.1,389.9,5300,2016088.0
2022-10-11,UHEWA,382.2,383.0,368.2,383.0,1991,738597.5
2022-10-12,UHEWA,375.4,387.0,368.0,374.2,1671,623596.6
2022-10-13,UHEWA,367.0,396.0,362.0,371.0,3570,1315880.0
2022-10-16,UHEWA,363.9,369.0,349.9,363.0,4345,1553545.0
2022-10-17,UHEWA,355.8,361.9,347.0,351.0,3815,1345608.0
2022-10-19,UHEWA,344.0,379.0,321.0,378.0,11420,3816137.2
2022-10-20,UHEWA,370.5,393.0,340.2,357.0,13067,4486421.1
2022-10-23,UHEWA,349.9,375.0,330.0,370.0,3370,1184007.5
2022-10-31,UHEWA,363.0,365.0,334.0,339.8,3930,1327854.0
2022-11-01,UHEWA,340.0,346.0,331.1,344.9,7754,2654998.1
2022-11-02,UHEWA,338.1,362.1,338.1,362.1,15301,5444214.8
2022-11-03,UHEWA,355.0,357.0,344.0,357.0,3700,1300496.0
2022-11-06,UHEWA,356.0,376.0,343.1,376.0,8784,3215462.2
2022-11-07,UHEWA,368.5,380.0,354.1,375.0,8479,3122340.9
2022-11-08,UHEWA,367.5,382.2,353.0,364.0,3875,1395765.0
2022-11-09,UHEWA,371.0,400.4,352.1,391.0,5692,2049645.4
2022-11-10,UHEWA,383.2,383.2,351.9,364.0,7077,2529328.4
2022-11-13,UHEWA,359.0,359.0,343.0,353.0,2998,1044176.4
2022-11-14,UHEWA,346.0,366.0,340.0,364.8,13052,4660228.5
2022-11-15,UHEWA,363.0,390.0,358.0,368.0,14601,5438257.0
2022-11-16,UHEWA,365.0,374.5,358.0,367.0,9741,3552921.9
2022-11-17,UHEWA,361.2,379.4,361.2,374.9,22858,8467887.6
2022-11-22,UHEWA,367.5,377.0,357.9,358.6,8232,2996990.8
2022-11-23,UHEWA,353.2,363.3,353.2,361.9,4908,1765491.6
2022-11-24,UHEWA,361.0,368.0,352.2,355.0,3257,1162214.4
2022-11-27,UHEWA,350.0,369.0,350.0,355.0,8440,2999799.0
2022-11-28,UHEWA,362.0,369.0,351.5,359.0,5770,2054531.0
2022-11-29,UHEWA,365.9,365.9,350.3,353.3,2710,961570.0
2022-11-30,UHEWA,347.1,359.9,347.1,357.0,7625,2687137.5
2022-12-01,UHEWA,350.1,378.7,350.1,359.0,3729,1327129.5
2022-12-04,UHEWA,359.0,370.0,352.1,361.0,8366,2977575.9
2022-12-05,UHEWA,353.8,375.5,350.0,358.9,5956,2115350.3
2022-12-06,UHEWA,352.1,358.9,348.5,358.9,4235,1497894.0
2022-12-07,UHEWA,352.2,369.0,347.0,367.9,9933,3524767.8
2022-12-11,UHEWA,360.6,365.0,340.0,357.0,26006,9034902.8
2022-12-12,UHEWA,364.0,364.1,345.0,349.1,7591,2674650.7
2022-12-13,UHEWA,343.2,354.0,341.0,347.5,2125,740863.5
2022-12-14,UHEWA,354.0,354.0,341.2,341.2,4517,1558986.9
2022-12-15,UHEWA,348.0,348.0,339.4,339.4,1739,591522.6
2022-12-18,UHEWA,345.0,345.0,333.0,333.3,4470,1495612.0
2022-12-19,UHEWA,339.9,346.6,325.0,336.6,6440,2125769.0
2022-12-20,UHEWA,334.0,340.4,329.9,337.0,3000,1001222.0
2022-12-21,UHEWA,330.4,339.0,330.4,339.0,2677,899506.5
2022-12-22,UHEWA,334.0,341.4,334.0,339.9,8448,2865752.0
2022-12-26,UHEWA,341.1,352.0,337.2,347.0,8715,3019204.0
2022-12-27,UHEWA,353.9,359.9,348.0,353.0,12545,4449313.2
2022-12-28,UHEWA,354.0,364.0,348.0,356.0,18079,6450744.8
2022-12-29,UHEWA,351.0,374.0,351.0,374.0,15361,5602188.0
2023-01-01,UHEWA,367.0,388.8,362.0,374.0,15265,5731698.6
2023-01-02,UHEWA,366.6,385.5,360.0,380.0,17235,6451763.4
2023-01-03,UHEWA,380.0,381.0,370.0,380.0,14525,5476567.0
2023-01-04,UHEWA,381.0,402.0,373.2,402.0,26705,10530089.3
2023-01-05,UHEWA,405.0,415.0,392.0,415.0,21040,8466618.3
2023-01-08,UHEWA,415.0,422.0,401.3,418.9,20930,8653688.0
2023-01-09,UHEWA,419.0,434.0,412.0,425.0,40442,17069672.5
2023-01-10,UHEWA,432.0,441.0,393.0,400.0,27245,11420153.6
2023-01-12,UHEWA,395.0,419.1,386.3,389.0,21065,8337982.8
2023-01-17,UHEWA,389.0,426.0,384.0,420.0,19817,8216721.0
2023-01-18,UHEWA,422.0,462.0,422.0,448.8,69071,30862277.1
2023-01-19,UHEWA,448.0,465.0,440.0,460.0,30245,13666359.3
2023-01-23,UHEWA,460.0,478.0,440.0,445.0,26791,12146338.6
2023-01-24,UHEWA,445.0,462.0,432.5,461.9,14969,6645797.5
2023-01-25,UHEWA,454.1,477.0,454.1,472.0,40692,19104781.5
2023-01-26,UHEWA,472.0,481.0,463.0,470.0,11894,5633144.2
2023-01-29,UHEWA,460.6,480.0,453.0,470.0,15290,7160206.4
2023-01-30,UHEWA,461.0,470.0,450.0,453.0,18571,8472473.6
2023-01-31,UHEWA,445.0,475.0,442.0,462.0,20054,9112341.5
2023-02-01,UHEWA,455.0,462.0,450.0,456.2,9111,4152922.5
2023-02-02,UHEWA,454.8,463.0,443.0,452.0,9691,4365667.8
2023-02-05,UHEWA,444.0,461.0,441.2,453.0,6618,2961804.8
2023-02-06,UHEWA,446.1,459.0,440.0,453.0,3655,1627199.0
2023-02-07,UHEWA,444.0,469.0,444.0,469.0,10079,4679929.9
2023-02-08,UHEWA,470.0,479.4,453.0,467.0,15982,7439478.6
2023-02-09,UHEWA,457.7,476.3,453.1,467.0,8549,3965453.1
2023-02-12,UHEWA,458.0,465.0,445.2,456.9,10940,4953320.5
2023-02-14,UHEWA,447.9,457.0,442.0,449.0,11225,5017450.5
2023-02-15,UHEWA,442.1,454.0,438.0,445.0,10028,4448097.5
2023-02-16,UHEWA,437.0,444.0,426.7,435.0,9554,4139256.2
2023-02-20,UHEWA,426.5,438.0,422.2,429.7,2930,1246196.0
2023-02-22,UHEWA,421.5,452.8,421.5,444.0,4065,1777344.0
2023-02-23,UHEWA,436.0,436.0,419.0,427.1,5889,2507695.7
2023-02-26,UHEWA,419.6,431.0,412.0,429.0,3280,1379396.0
2023-02-27,UHEWA,420.5,435.0,420.0,427.0,6425,2722988.5
2023-02-28,UHEWA,421.1,435.5,421.1,435.0,6678,2874883.4
2023-03-01,UHEWA,435.0,435.0,412.4,427.0,16022,6675497.5
2023-03-02,UHEWA,418.5,420.0,411.1,417.9,4460,1854810.0
2023-03-05,UHEWA,415.0,418.0,403.5,406.0,2620,1061712.5
2023-03-07,UHEWA,400.0,422.0,400.0,412.0,4485,1830355.0
2023-03-09,UHEWA,412.0,427.0,412.0,423.0,2815,1180028.0
2023-03-12,UHEWA,419.0,428.0,416.1,417.0,14148,5948656.9
2023-03-13,UHEWA,409.0,414.0,406.0,410.0,2230,915043.0
2023-03-14,UHEWA,403.1,420.0,403.1,416.0,6357,2600934.2
2023-03-15,UHEWA,410.6,416.9,408.4,414.9,3160,1300419.0
2023-03-16,UHEWA,408.5,424.3,408.5,415.1,11260,4749693.0
