BUSINESS_DATE,SYMBOL,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TOTAL_TRADED_QUANTITY,TOTAL_TRADED_VALUE
2023-09-25,ULHC,293.0,293.0,263.7,264.0,118856,31625318.6
2023-09-26,ULHC,258.8,276.5,258.0,275.0,63032,16871595.2
2023-09-27,ULHC,275.0,301.5,274.0,293.0,37432,10831769.9
2023-10-01,ULHC,290.0,290.0,263.8,266.0,68013,18419323.0
2023-10-02,ULHC,260.7,280.0,252.0,275.0,42692,11075939.7
2023-10-03,ULHC,270.0,270.8,250.3,262.0,29670,7830033.8
2023-10-04,ULHC,267.2,268.0,257.1,261.1,27206,7113099.3
2023-10-05,ULHC,265.0,270.0,255.0,258.0,21735,5670646.5
2023-10-08,ULHC,262.1,271.9,252.1,263.0,37222,9698184.6
2023-10-09,ULHC,260.0,285.6,258.1,273.0,62477,17141655.1
2023-10-10,ULHC,273.0,290.0,271.0,289.0,57377,16014874.7
2023-10-11,ULHC,290.0,300.0,282.3,293.1,57844,16850292.7
2023-10-12,ULHC,288.0,298.9,279.0,290.0,53633,15260363.0
2023-10-16,ULHC,284.2,284.2,268.7,269.3,23129,6335064.8
2023-10-17,ULHC,267.0,279.9,264.0,266.6,33009,8925633.8
2023-10-18,ULHC,266.0,279.9,263.3,274.9,24107,6587397.0
2023-10-19,ULHC,272.0,277.4,263.8,271.0,13606,3657363.9
2023-10-29,ULHC,267.0,284.2,262.0,265.0,22960,6238683.5
2023-10-30,ULHC,270.0,291.5,261.2,271.0,11504,3096246.2
2023-10-31,ULHC,270.0,276.4,261.0,268.0,7290,1923418.0
2023-11-01,ULHC,268.7,289.8,256.1,262.7,11781,3081113.0
2023-11-02,ULHC,257.6,260.2,252.5,257.0,17844,4566926.5
2023-11-05,ULHC,252.4,254.0,247.4,249.5,17341,4347556.6
2023-11-06,ULHC,245.3,258.0,245.3,254.0,9902,2500666.0
2023-11-07,ULHC,257.0,259.0,242.0,249.8,30672,7597080.1
2023-11-08,ULHC,244.9,250.0,241.1,247.0,23653,5785213.0
2023-11-09,ULHC,242.1,246.0,238.2,240.0,17589,4235482.0
2023-11-20,ULHC,236.8,244.8,231.0,236.9,13931,3291010.5
2023-11-21,ULHC,232.2,232.2,221.1,225.0,16216,3635758.2
2023-11-22,ULHC,220.5,229.5,217.1,223.0,12540,2799558.0
2023-11-23,ULHC,227.0,236.5,219.0,236.5,11185,2537844.5
2023-11-26,ULHC,236.5,243.0,227.4,241.0,22389,5305759.5
2023-11-27,ULHC,245.0,245.0,234.0,236.0,9625,2281466.4
2023-11-28,ULHC,236.0,240.9,228.6,240.9,24417,5695453.9
2023-11-29,ULHC,237.0,239.0,228.0,232.0,11680,2705203.0
2023-11-30,ULHC,227.4,233.5,222.0,224.0,17577,3978110.0
2023-12-03,ULHC,228.0,230.5,219.7,223.0,11340,2532814.0
2023-12-04,ULHC,220.8,229.0,220.8,224.1,11429,2577447.3
2023-12-05,ULHC,222.0,231.9,222.0,226.0,14913,3364315.0
2023-12-06,ULHC,222.1,226.0,222.1,224.0,5630,1261392.0
2023-12-07,ULHC,226.5,232.8,223.0,227.0,22987,5265500.4
2023-12-10,ULHC,231.5,247.0,231.5,247.0,1275,313476.0
2023-12-11,ULHC,250.0,250.0,232.4,244.9,34656,8301165.6
2023-12-12,ULHC,248.0,251.0,233.8,247.0,41271,10085911.4
2023-12-13,ULHC,247.0,267.3,247.0,249.0,49380,12599766.5
2023-12-14,ULHC,245.0,264.0,245.0,260.0,28595,7290064.9
2023-12-17,ULHC,255.0,278.9,250.0,278.9,53010,14334560.5
2023-12-18,ULHC,281.0,282.6,264.0,269.8,60852,16588998.9
2023-12-19,ULHC,270.0,272.0,260.0,270.0,21530,5728248.8
2023-12-20,ULHC,270.0,279.4,262.0,269.8,38131,10322416.0
2023-12-21,ULHC,275.1,275.1,256.0,256.0,37593,9876416.4
2023-12-24,ULHC,256.0,271.0,256.0,261.0,48664,12940587.5
2023-12-27,ULHC,262.0,279.0,262.0,275.0,60120,16378539.0
2023-12-28,ULHC,280.0,299.0,265.0,296.5,96908,28096125.3
2024-01-01,ULHC,302.4,307.0,279.0,280.5,58636,17071016.3
2024-01-02,ULHC,276.3,286.1,269.5,273.0,44494,12198457.8
2024-01-03,ULHC,268.0,285.1,268.0,284.9,26414,7430294.6
2024-01-04,ULHC,279.3,293.6,279.3,280.0,65130,18675284.8
2024-01-07,ULHC,278.0,296.0,278.0,282.0,50358,14411485.7
2024-01-08,ULHC,285.0,310.2,282.0,304.1,77169,22992974.8
2024-01-09,ULHC,304.1,324.0,304.1,306.0,78858,24898227.0
2024-01-10,ULHC,311.0,317.0,301.2,301.3,46433,14360618.3
2024-01-11,ULHC,302.0,327.0,302.0,316.2,60403,19104064.2
2024-01-14,ULHC,322.5,337.0,320.2,328.0,45127,14914380.0
2024-01-16,ULHC,330.0,339.9,314.6,320.0,84605,27851418.6
2024-01-17,ULHC,321.0,326.6,297.0,299.0,65308,20146191.6
2024-01-18,ULHC,294.0,321.0,294.0,310.0,41321,12683028.9
2024-01-21,ULHC,305.0,336.0,305.0,313.6,96514,30983611.7
2024-01-22,ULHC,310.3,332.0,310.3,319.9,63358,20518544.0
2024-01-23,ULHC,321.0,327.4,314.0,318.5,28836,9224443.2
2024-01-24,ULHC,313.1,320.0,302.9,308.0,18609,5824883.6
2024-01-25,ULHC,303.8,314.1,298.0,299.0,43612,13208634.5
2024-01-28,ULHC,303.0,315.0,297.0,308.0,28755,8809809.9
