BUSINESS_DATE,SYMBOL,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TOTAL_TRADED_QUANTITY,TOTAL_TRADED_VALUE
2019-06-12,UNHPL,0.0,150.0,150.0,150.0,50.0,7500.0
2019-06-17,UNHPL,0.0,143.0,143.0,143.0,50.0,7150.0
2019-06-18,UNHPL,0.0,136.0,136.0,136.0,40.0,5440.0
2019-07-02,UNHPL,0.0,130.0,128.0,128.0,100.0,12900.0
2019-07-03,UNHPL,0.0,122.0,122.0,122.0,50.0,6100.0
2019-07-04,UNHPL,0.0,116.0,114.0,114.0,150.0,17200.0
2019-07-21,UNHPL,0.0,109.0,103.0,103.0,130.0,13690.0
2019-07-23,UNHPL,0.0,101.0,99.0,99.0,20.0,2000.0
2019-07-24,UNHPL,0.0,95.0,94.0,94.0,100.0,9450.0
2019-07-25,UNHPL,0.0,90.0,85.0,85.0,3500.0,298087.0
2019-07-28,UNHPL,0.0,84.0,77.0,78.0,821.0,63698.0
2019-07-29,UNHPL,0.0,78.0,72.0,78.0,1900.0,142260.0
2019-07-30,UNHPL,0.0,77.0,73.0,73.0,3410.0,252320.0
2019-07-31,UNHPL,0.0,72.0,68.0,70.0,3041.0,209518.0
2019-08-01,UNHPL,0.0,72.0,70.0,72.0,600.0,42550.0
2019-08-04,UNHPL,0.0,73.0,71.0,71.0,1120.0,80650.0
2019-08-05,UNHPL,0.0,71.0,68.0,68.0,350.0,24450.0
2019-08-06,UNHPL,0.0,69.0,68.0,68.0,520.0,35510.0
2019-08-07,UNHPL,0.0,69.0,68.0,68.0,200.0,13650.0
2019-08-08,UNHPL,0.0,68.0,68.0,68.0,600.0,40800.0
2019-08-11,UNHPL,0.0,68.0,65.0,67.0,590.0,39440.0
2019-08-12,UNHPL,0.0,66.0,65.0,65.0,860.0,56300.0
2019-08-13,UNHPL,0.0,69.0,65.0,67.0,750.0,50450.0
2019-08-14,UNHPL,0.0,68.0,66.0,66.0,610.0,40910.0
2019-08-15,UNHPL,0.0,67.0,66.0,66.0,570.0,38120.0
2019-08-18,UNHPL,0.0,65.0,64.0,65.0,450.0,29100.0
2019-08-19,UNHPL,0.0,66.0,65.0,65.0,250.0,16300.0
2019-08-20,UNHPL,0.0,65.0,64.0,64.0,500.0,32050.0
2019-08-21,UNHPL,0.0,63.0,62.0,62.0,200.0,12560.0
2019-08-22,UNHPL,0.0,62.0,61.0,62.0,550.0,34050.0
2019-08-25,UNHPL,0.0,63.0,62.0,62.0,150.0,9350.0
2019-08-26,UNHPL,0.0,61.0,58.0,60.0,490.0,28980.0
2019-08-27,UNHPL,0.0,61.0,58.0,58.0,760.0,44870.0
2019-08-28,UNHPL,0.0,59.0,59.0,59.0,300.0,17700.0
2019-08-29,UNHPL,0.0,61.0,59.0,61.0,1440.0,86290.0
2019-09-01,UNHPL,0.0,61.0,60.0,60.0,190.0,11500.0
2019-09-02,UNHPL,0.0,61.0,60.0,60.0,250.0,15050.0
2019-09-03,UNHPL,0.0,62.0,59.0,62.0,400.0,24000.0
2019-09-04,UNHPL,0.0,62.0,60.0,62.0,400.0,24350.0
2019-09-05,UNHPL,0.0,61.0,60.0,60.0,700.0,42400.0
2019-09-08,UNHPL,0.0,59.0,57.0,57.0,400.0,23250.0
2019-09-09,UNHPL,0.0,58.0,54.0,55.0,560.0,31540.0
2019-09-10,UNHPL,0.0,56.0,55.0,55.0,1080.0,59950.0
2019-09-11,UNHPL,0.0,55.0,55.0,55.0,50.0,2750.0
2019-09-12,UNHPL,0.0,56.0,54.0,54.0,920.0,50640.0
2019-09-15,UNHPL,0.0,54.0,53.0,54.0,350.0,18650.0
2019-09-16,UNHPL,0.0,53.0,50.0,51.0,800.0,40360.0
2019-09-17,UNHPL,0.0,52.0,52.0,52.0,50.0,2600.0
2019-09-18,UNHPL,0.0,53.0,53.0,53.0,100.0,5300.0
2019-09-19,UNHPL,0.0,54.0,52.0,54.0,280.0,14790.0
2019-09-22,UNHPL,0.0,53.0,52.0,53.0,150.0,7900.0
2019-09-23,UNHPL,0.0,52.0,51.0,51.0,300.0,15460.0
2019-09-24,UNHPL,0.0,51.0,50.0,51.0,250.0,12700.0
2019-09-25,UNHPL,0.0,52.0,51.0,52.0,180.0,9260.0
2019-09-26,UNHPL,0.0,52.0,50.0,51.0,300.0,15250.0
2019-09-29,UNHPL,0.0,51.0,50.0,51.0,200.0,10150.0
2019-09-30,UNHPL,0.0,54.0,52.0,54.0,250.0,13200.0
2019-10-01,UNHPL,0.0,55.0,55.0,55.0,50.0,2750.0
2019-10-02,UNHPL,0.0,56.0,54.0,56.0,100.0,5520.0
2019-10-10,UNHPL,0.0,57.0,56.0,56.0,750.0,42200.0
2019-10-16,UNHPL,0.0,58.0,57.0,57.0,190.0,10930.0
2019-10-17,UNHPL,0.0,58.0,58.0,58.0,50.0,2900.0
2019-10-20,UNHPL,0.0,59.0,58.0,58.0,190.0,11070.0
2019-10-21,UNHPL,0.0,57.0,57.0,57.0,100.0,5700.0
2019-10-24,UNHPL,0.0,57.0,54.0,56.0,600.0,33095.0
2019-10-31,UNHPL,0.0,56.0,54.0,54.0,600.0,33200.0
2019-11-03,UNHPL,0.0,55.0,54.0,55.0,190.0,10410.0
2019-11-04,UNHPL,0.0,57.0,55.0,55.0,1250.0,69650.0
2019-11-05,UNHPL,0.0,54.0,54.0,54.0,50.0,2700.0
2019-11-06,UNHPL,0.0,53.0,52.0,52.0,100.0,5250.0
2019-11-07,UNHPL,0.0,52.0,50.0,52.0,1340.0,68290.0
2019-11-10,UNHPL,0.0,54.0,53.0,54.0,150.0,8050.0
2019-11-11,UNHPL,0.0,55.0,53.0,53.0,390.0,21010.0
2019-11-12,UNHPL,0.0,55.0,51.0,51.0,250.0,12950.0
