BUSINESS_DATE,SYMBOL,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TOTAL_TRADED_QUANTITY,TOTAL_TRADED_VALUE
2019-03-24,UPCL,0.0,300.0,270.0,270.0,230.0,65860.0
2019-03-25,UPCL,0.0,257.0,243.0,243.0,210.0,52220.0
2019-03-26,UPCL,0.0,231.0,219.0,219.0,320.0,72920.0
2019-03-27,UPCL,0.0,209.0,198.0,198.0,90.0,18030.0
2019-03-28,UPCL,0.0,189.0,179.0,179.0,190.0,34860.0
2019-03-31,UPCL,0.0,171.0,162.0,162.0,220.0,37200.0
2019-04-01,UPCL,0.0,154.0,146.0,146.0,90.0,13290.0
2019-04-02,UPCL,0.0,139.0,132.0,132.0,160.0,21350.0
2019-04-03,UPCL,0.0,126.0,119.0,119.0,450.0,53980.0
2019-04-04,UPCL,0.0,114.0,108.0,108.0,1250.0,135120.0
2019-04-07,UPCL,0.0,103.0,98.0,98.0,23430.0,2299450.0
2019-04-08,UPCL,0.0,99.0,93.0,94.0,35689.0,3372116.0
2019-04-09,UPCL,0.0,96.0,92.0,94.0,17210.0,1618875.0
2019-04-10,UPCL,0.0,94.0,92.0,94.0,11020.0,1023710.0
2019-04-11,UPCL,0.0,96.0,92.0,94.0,9145.0,858515.0
2019-04-15,UPCL,0.0,94.0,90.0,93.0,7510.0,687220.0
2019-04-16,UPCL,0.0,93.0,89.0,90.0,12540.0,1140460.0
2019-04-17,UPCL,0.0,95.0,89.0,95.0,13800.0,1247440.0
2019-04-18,UPCL,0.0,94.0,90.0,91.0,5200.0,475890.0
2019-04-21,UPCL,0.0,92.0,90.0,91.0,10085.0,913870.0
2019-04-22,UPCL,0.0,92.0,90.0,91.0,12050.0,1092580.0
2019-04-23,UPCL,0.0,92.0,90.0,91.0,7340.0,663800.0
2019-04-24,UPCL,0.0,91.0,88.0,90.0,8950.0,798890.0
2019-04-25,UPCL,0.0,94.0,88.0,94.0,12520.0,1120280.0
2019-04-28,UPCL,0.0,99.0,89.0,96.0,15999.0,1484927.0
2019-04-29,UPCL,0.0,100.0,91.0,100.0,7090.0,651760.0
2019-04-30,UPCL,0.0,99.0,90.0,98.0,8370.0,779220.0
2019-05-02,UPCL,0.0,102.0,91.0,102.0,33909.0,3312020.0
2019-05-05,UPCL,0.0,98.0,94.0,96.0,9080.0,860675.0
2019-05-06,UPCL,0.0,97.0,92.0,93.0,6441.0,608530.0
2019-05-07,UPCL,0.0,99.0,92.0,95.0,8170.0,766740.0
2019-05-08,UPCL,0.0,97.0,93.0,94.0,7055.0,670175.0
2019-05-09,UPCL,0.0,95.0,92.0,94.0,3590.0,336210.0
2019-05-12,UPCL,0.0,94.0,91.0,91.0,6670.0,614090.0
2019-05-13,UPCL,0.0,97.0,90.0,95.0,11075.0,1049975.0
2019-05-14,UPCL,0.0,95.0,93.0,95.0,3995.0,373395.0
2019-05-15,UPCL,0.0,96.0,92.0,94.0,5330.0,503010.0
2019-05-16,UPCL,0.0,95.0,92.0,93.0,5720.0,534930.0
2019-05-19,UPCL,0.0,95.0,92.0,93.0,7340.0,685125.0
2019-05-20,UPCL,0.0,95.0,92.0,92.0,7530.0,700890.0
2019-05-21,UPCL,0.0,97.0,91.0,95.0,14515.0,1368205.0
2019-05-22,UPCL,0.0,102.0,96.0,100.0,51310.0,5040190.0
2019-05-23,UPCL,0.0,102.0,94.0,96.0,20010.0,1941570.0
2019-05-26,UPCL,0.0,96.0,94.0,96.0,6955.0,659760.0
2019-05-27,UPCL,0.0,96.0,94.0,94.0,3692.0,350186.0
2019-05-28,UPCL,0.0,97.0,93.0,97.0,27835.0,2621220.0
2019-05-29,UPCL,0.0,100.0,94.0,96.0,4730.0,452960.0
2019-05-30,UPCL,0.0,100.0,94.0,95.0,6166.0,588955.0
2019-06-02,UPCL,0.0,100.0,93.0,100.0,38605.0,3760801.0
2019-06-03,UPCL,0.0,101.0,96.0,97.0,17130.0,1675630.0
2019-06-04,UPCL,0.0,98.0,93.0,95.0,4686.0,440668.0
2019-06-06,UPCL,0.0,98.0,93.0,98.0,3015.0,282430.0
2019-06-10,UPCL,0.0,96.0,92.0,92.0,16384.0,1517326.0
2019-06-11,UPCL,0.0,95.0,91.0,92.0,17080.0,1579290.0
2019-06-12,UPCL,0.0,93.0,91.0,92.0,4300.0,396100.0
2019-06-13,UPCL,0.0,94.0,91.0,93.0,3770.0,352780.0
2019-06-16,UPCL,0.0,93.0,91.0,92.0,5430.0,498060.0
2019-06-17,UPCL,0.0,94.0,91.0,92.0,10220.0,942470.0
2019-06-18,UPCL,0.0,96.0,91.0,91.0,3000.0,276050.0
2019-06-19,UPCL,0.0,93.0,91.0,91.0,3870.0,354890.0
2019-06-20,UPCL,0.0,92.0,91.0,92.0,2170.0,198370.0
2019-06-23,UPCL,0.0,93.0,91.0,92.0,3525.0,324395.0
2019-06-24,UPCL,0.0,93.0,91.0,92.0,4100.0,376250.0
2019-06-25,UPCL,0.0,93.0,91.0,92.0,3880.0,357810.0
2019-06-26,UPCL,0.0,92.0,91.0,91.0,2850.0,260900.0
2019-06-27,UPCL,0.0,92.0,91.0,92.0,3710.0,339060.0
2019-06-30,UPCL,0.0,92.0,90.0,91.0,3440.0,314730.0
2019-07-01,UPCL,0.0,91.0,90.0,90.0,8060.0,726510.0
2019-07-02,UPCL,0.0,92.0,90.0,92.0,5119.0,463760.0
2019-07-03,UPCL,0.0,94.0,93.0,93.0,150.0,14000.0
2019-07-04,UPCL,0.0,93.0,90.0,91.0,11310.0,1024650.0
2019-07-07,UPCL,0.0,91.0,89.0,90.0,2810.0,253450.0
2019-07-08,UPCL,0.0,91.0,89.0,91.0,4040.0,363030.0
2019-07-09,UPCL,0.0,91.0,89.0,90.0,6610.0,594410.0
2019-07-10,UPCL,0.0,91.0,89.0,90.0,3910.0,351590.0
2019-07-11,UPCL,0.0,90.0,89.0,89.0,4590.0,411260.0
2019-07-14,UPCL,0.0,90.0,88.0,90.0,3770.0,335960.0
2019-07-15,UPCL,0.0,90.0,89.0,89.0,3830.0,341350.0
2019-07-16,UPCL,0.0,93.0,89.0,89.0,280.0,25090.0
2019-07-17,UPCL,0.0,92.0,89.0,91.0,6420.0,579600.0
2019-07-18,UPCL,0.0,91.0,89.0,89.0,1750.0,156450.0
2019-07-21,UPCL,0.0,90.0,88.0,88.0,3060.0,270310.0
2019-07-22,UPCL,0.0,90.0,88.0,89.0,2170.0,193580.0
2019-07-23,UPCL,0.0,90.0,88.0,89.0,4400.0,392000.0
2019-07-24,UPCL,0.0,90.0,88.0,89.0,4180.0,371330.0
2019-07-25,UPCL,0.0,89.0,87.0,87.0,6385.0,562530.0
2019-07-28,UPCL,0.0,91.0,87.0,91.0,2660.0,233530.0
2019-07-29,UPCL,0.0,90.0,87.0,88.0,2995.0,264000.0
2019-07-30,UPCL,0.0,89.0,87.0,88.0,1840.0,161770.0
2019-07-31,UPCL,0.0,89.0,87.0,89.0,4660.0,408800.0
2019-08-01,UPCL,0.0,88.0,86.0,87.0,13890.0,1210440.0
2019-08-04,UPCL,0.0,88.0,86.0,86.0,4717.0,410379.0
2019-08-05,UPCL,0.0,88.0,86.0,88.0,3940.0,343690.0
2019-08-06,UPCL,0.0,89.0,86.0,87.0,3680.0,319100.0
2019-08-07,UPCL,0.0,88.0,86.0,88.0,2890.0,250720.0
2019-08-08,UPCL,0.0,87.0,86.0,86.0,1470.0,126620.0
2019-08-11,UPCL,0.0,89.0,85.0,88.0,4780.0,410910.0
2019-08-12,UPCL,0.0,87.0,85.0,86.0,3910.0,335860.0
2019-08-13,UPCL,0.0,86.0,84.0,85.0,3490.0,297930.0
2019-08-14,UPCL,0.0,86.0,84.0,85.0,1670.0,141960.0
2019-08-15,UPCL,0.0,85.0,83.0,83.0,8310.0,691011.0
2019-08-18,UPCL,0.0,83.0,81.0,82.0,10130.0,832670.0
2019-08-19,UPCL,0.0,84.0,80.0,84.0,3304.0,269310.0
2019-08-20,UPCL,0.0,84.0,80.0,82.0,2080.0,169685.0
2019-08-21,UPCL,0.0,82.0,79.0,82.0,3190.0,257800.0
2019-08-22,UPCL,0.0,83.0,79.0,83.0,1050.0,85630.0
2019-08-25,UPCL,0.0,82.0,79.0,79.0,1370.0,110610.0
2019-08-26,UPCL,0.0,80.0,77.0,77.0,4730.0,369880.0
2019-08-27,UPCL,0.0,80.0,77.0,78.0,1190.0,93520.0
2019-08-28,UPCL,0.0,79.0,77.0,78.0,1920.0,150060.0
2019-08-29,UPCL,0.0,79.0,77.0,77.0,2260.0,176250.0
2019-09-01,UPCL,0.0,78.0,76.0,76.0,2790.0,213720.0
2019-09-02,UPCL,0.0,78.0,74.0,74.0,3592.0,269650.0
2019-09-03,UPCL,0.0,81.0,75.0,81.0,11510.0,900460.0
2019-09-04,UPCL,0.0,88.0,82.0,84.0,12777.0,1083041.0
2019-09-05,UPCL,0.0,86.0,82.0,85.0,1750.0,147050.0
2019-09-08,UPCL,0.0,84.0,78.0,78.0,2830.0,222290.0
2019-09-09,UPCL,0.0,81.0,77.0,80.0,1650.0,130930.0
2019-09-10,UPCL,0.0,79.0,77.0,77.0,1500.0,116820.0
2019-09-11,UPCL,0.0,79.0,76.0,77.0,2270.0,175740.0
2019-09-12,UPCL,0.0,77.0,75.0,76.0,4240.0,321600.0
2019-09-15,UPCL,0.0,76.0,75.0,75.0,3390.0,255390.0
2019-09-16,UPCL,0.0,76.0,74.0,76.0,2220.0,165020.0
2019-09-17,UPCL,0.0,78.0,75.0,76.0,69370.0,5813196.0
2019-09-18,UPCL,0.0,79.0,75.0,79.0,960.0,74270.0
2019-09-19,UPCL,0.0,82.0,78.0,78.0,2340.0,185290.0
2019-09-22,UPCL,0.0,81.0,77.0,80.0,12296.0,978273.0
2019-09-23,UPCL,0.0,81.0,78.0,78.0,720.0,56990.0
2019-09-24,UPCL,0.0,80.0,78.0,79.0,4542.0,360860.0
2019-09-25,UPCL,0.0,79.0,77.0,77.0,1320.0,102660.0
2019-09-26,UPCL,0.0,79.0,77.0,78.0,2820.0,218815.0
2019-09-29,UPCL,0.0,79.0,77.0,77.0,2035.0,157350.0
