BUSINESS_DATE,SYMBOL,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TOTAL_TRADED_QUANTITY,TOTAL_TRADED_VALUE
2022-08-17,USHEC,324.6,357.0,324.6,357.0,3870,1378546.7
2022-08-18,USHEC,364.1,392.7,364.1,392.7,84038,32481041.6
2022-08-21,USHEC,400.5,431.9,390.1,393.0,41125,16474088.8
2022-08-22,USHEC,393.0,399.9,376.1,388.6,41656,15973215.9
2022-08-23,USHEC,396.3,399.8,375.4,388.5,22730,8772279.5
2022-08-24,USHEC,381.1,414.0,381.0,404.0,36702,14693053.6
2022-08-25,USHEC,398.0,412.0,392.0,392.0,20925,8393321.0
2022-08-26,USHEC,387.0,389.3,378.4,389.3,18080,6929032.0
2022-08-28,USHEC,381.6,383.0,366.0,366.0,19565,7312542.2
2022-08-29,USHEC,359.0,365.1,350.0,364.0,13689,4929226.1
2022-08-30,USHEC,365.0,370.0,348.0,360.0,11010,3934778.9
2022-08-31,USHEC,354.1,356.0,337.0,341.2,11524,3977209.2
2022-09-01,USHEC,341.2,365.0,330.3,353.0,10075,3384859.0
2022-09-02,USHEC,347.0,350.0,341.1,349.0,2950,1018811.0
2022-09-04,USHEC,343.0,356.6,343.0,356.6,7960,2804114.0
2022-09-05,USHEC,351.5,379.6,351.5,367.0,20600,7551548.6
2022-09-06,USHEC,359.8,364.0,350.7,351.1,8932,3172173.8
2022-09-07,USHEC,345.1,351.1,338.7,342.0,9665,3311241.5
2022-09-08,USHEC,337.1,351.0,337.1,351.0,11722,4023084.8
2022-09-11,USHEC,357.0,357.0,338.0,340.0,5910,2027008.0
2022-09-12,USHEC,346.0,352.0,332.0,334.0,8172,2783879.4
2022-09-13,USHEC,330.5,344.0,330.5,332.6,5865,1983733.9
2022-09-14,USHEC,330.1,345.0,330.1,345.0,14960,5062710.0
2022-09-15,USHEC,345.0,345.0,320.4,321.0,17340,5696009.4
2022-09-16,USHEC,315.0,318.0,303.0,304.0,9714,3007446.1
2022-09-18,USHEC,303.9,307.0,290.0,298.8,9924,2967749.1
2022-09-20,USHEC,295.0,295.0,277.5,279.2,10805,3050108.6
2022-09-21,USHEC,278.0,289.0,273.8,289.0,7601,2139863.0
2022-09-22,USHEC,285.0,292.8,268.4,280.0,7763,2158810.0
2022-09-25,USHEC,274.5,275.0,265.0,270.0,3945,1059468.0
2022-09-27,USHEC,264.9,278.0,261.2,274.4,2299,626187.5
2022-09-28,USHEC,269.0,280.5,263.7,279.0,1644,442643.1
2022-09-29,USHEC,282.0,285.0,271.0,285.0,1590,442783.6
2022-10-09,USHEC,280.0,285.6,275.0,283.0,2832,784920.0
