BUSINESS_DATE,SYMBOL,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TOTAL_TRADED_QUANTITY,TOTAL_TRADED_VALUE
2023-12-21,VLUCL,365.3,401.8,365.3,401.8,7730,3101246.9
2023-12-24,VLUCL,409.8,441.9,409.8,441.9,9105,4018795.4
2023-12-27,VLUCL,450.7,486.0,450.7,486.0,18977,9216836.2
2023-12-28,VLUCL,495.7,534.6,495.7,534.6,46854,25042686.9
2024-01-01,VLUCL,545.2,588.0,523.9,549.0,150275,83056365.7
2024-01-02,VLUCL,555.0,570.0,530.2,540.4,107187,57993109.0
2024-01-03,VLUCL,545.0,545.0,530.0,542.0,60268,32286910.0
2024-01-04,VLUCL,550.0,595.0,542.0,585.0,68836,39629389.4
2024-01-07,VLUCL,596.7,607.0,555.5,559.0,76780,44214877.2
2024-01-08,VLUCL,559.0,595.4,548.0,586.0,52235,29922558.5
2024-01-09,VLUCL,586.0,597.0,562.0,567.0,43715,25323808.0
2024-01-10,VLUCL,568.0,573.1,555.0,559.0,27275,15350013.5
2024-01-11,VLUCL,550.0,568.0,548.0,560.0,27247,15215588.3
2024-01-14,VLUCL,570.0,608.0,570.0,582.0,90565,53339525.3
2024-01-16,VLUCL,593.0,600.0,565.1,577.0,62737,36408299.0
2024-01-17,VLUCL,588.5,588.5,545.0,551.0,58811,33060117.2
2024-01-18,VLUCL,540.0,570.0,530.0,542.0,62515,33894048.2
2024-01-21,VLUCL,543.0,564.0,537.0,541.0,40419,22126059.2
2024-01-22,VLUCL,540.0,550.0,528.0,530.1,35703,19141408.2
2024-01-23,VLUCL,521.0,540.7,516.4,522.0,32181,16880358.3
2024-01-24,VLUCL,521.0,530.0,509.0,509.4,28559,14755293.6
2024-01-25,VLUCL,509.4,515.0,496.1,505.0,28866,14538667.7
2024-01-28,VLUCL,505.0,527.0,503.1,525.0,31024,15952755.0
